Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs,Cities,Houston Area Detail
77077.0,29475.0,265300.0,182900.0,368600.0,1219.0,Houston,Southwest
77081.0,20314.0,256700.0,112300.0,467100.0,787.0,Houston,Southwest
77028.0,6728.0,56200.0,40300.0,79500.0,578.0,Houston,Northeast
77058.0,9257.0,171800.0,128600.0,232100.0,1004.0,Houston,Southeast
77023.0,10898.0,112800.0,89000.0,168100.0,740.0,Houston,Inner Loop
77093.0,14215.0,75900.0,52200.0,104400.0,626.0,Houston,Other Cities
77032.0,4630.0,82500.0,44400.0,101400.0,863.0,Houston,Northeast
77056.0,13256.0,631800.0,304700.0,1035500.0,1740.0,Houston,Southwest
77065.0,16049.0,154000.0,118400.0,197800.0,1122.0,Houston,Northwest
77069.0,8800.0,233900.0,175400.0,335000.0,1168.0,Houston,Northwest
77070.0,21170.0,166900.0,127400.0,217000.0,1244.0,Houston,Northwest
77345.0,10094.0,272700.0,205200.0,362000.0,1657.0,Kingwood2,Other Cities
77377.0,11983.0,241800.0,181300.0,308700.0,1513.0,Tomball,Other Cities
77042.0,21978.0,239500.0,86500.0,412400.0,1019.0,Houston,Southwest
77388.0,16238.0,172300.0,132700.0,232900.0,1420.0,Spring2,Other Cities
77043.0,10105.0,194700.0,121600.0,302600.0,980.0,Houston,Northwest
77089.0,18185.0,137400.0,106000.0,171400.0,1140.0,Houston,Southeast
77033.0,10416.0,62400.0,44900.0,78100.0,625.0,Houston,Southeast
77064.0,17181.0,143000.0,107800.0,193900.0,1168.0,Houston,Northwest
77099.0,18293.0,105700.0,86900.0,125600.0,889.0,Houston,Southwest
