Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77027,10629.0,505600.0,251300.0,859200.0,1395.0
77028,6731.0,58500.0,43900.0,79600.0,523.0
77029,6390.0,67800.0,51600.0,85500.0,663.0
77030,5812.0,482700.0,215100.0,727400.0,1399.0
77031,6496.0,116100.0,98500.0,140500.0,829.0
77032,4352.0,73600.0,43600.0,92800.0,816.0
77033,10067.0,64000.0,46800.0,78800.0,653.0
77034,13286.0,98000.0,82000.0,121100.0,905.0
77035,15757.0,161400.0,100800.0,233300.0,765.0
77036,30430.0,112000.0,78200.0,139800.0,697.0
77037,5549.0,84800.0,51100.0,110100.0,848.0
77038,7963.0,85900.0,68300.0,113300.0,979.0
77039,8192.0,83500.0,66900.0,101900.0,769.0
77040,17916.0,128600.0,100200.0,182900.0,1009.0
77041,11989.0,135800.0,97000.0,262000.0,1173.0
77042,21077.0,225300.0,105000.0,353600.0,934.0
77043,9626.0,153800.0,106800.0,201000.0,889.0
77044,11515.0,140700.0,84100.0,231900.0,1335.0
77045,10272.0,83700.0,66400.0,100000.0,914.0
77046,818.0,310900.0,202900.0,480400.0,1761.0
77047,8974.0,105700.0,80300.0,129300.0,1078.0
77048,6891.0,78300.0,60800.0,99300.0,731.0
77049,9948.0,103400.0,75100.0,145000.0,1057.0
77050,1557.0,67500.0,35400.0,95600.0,674.0
77051,6872.0,62400.0,42000.0,87800.0,681.0
77054,14327.0,120900.0,83200.0,207600.0,972.0
77055,16142.0,259700.0,121500.0,475800.0,883.0
77056,11998.0,589300.0,309300.0,959200.0,1541.0
77057,22742.0,238400.0,142900.0,561700.0,1087.0
77058,9200.0,161700.0,116200.0,205100.0,951.0
77059,6078.0,251600.0,183400.0,345800.0,1672.0
77060,15918.0,86400.0,72200.0,106100.0,737.0
77061,9769.0,112800.0,86300.0,140000.0,707.0
77062,10177.0,162700.0,133800.0,197100.0,1278.0
77063,19792.0,187000.0,98200.0,340900.0,956.0
77064,16511.0,132200.0,97800.0,170900.0,1139.0
77065,15487.0,140800.0,111500.0,181200.0,1078.0
77066,10295.0,116500.0,89500.0,148800.0,1102.0
77067,10792.0,94400.0,80700.0,115400.0,889.0
77068,4151.0,162700.0,129100.0,213600.0,1270.0
77069,8499.0,198800.0,128900.0,305100.0,1115.0
77070,20096.0,154100.0,118900.0,186600.0,1200.0
77071,10565.0,120200.0,94700.0,160200.0,939.0
77072,19755.0,94000.0,72500.0,115100.0,896.0
77073,12858.0,106300.0,86700.0,126900.0,1156.0
77074,14467.0,101800.0,80800.0,125800.0,768.0
77075,13369.0,114300.0,89200.0,139600.0,992.0
77076,10123.0,83900.0,65100.0,99300.0,780.0
77077,27988.0,206800.0,155500.0,291600.0,1112.0
77078,5244.0,67500.0,49600.0,83700.0,732.0
77079,13309.0,337200.0,160100.0,480500.0,1277.0
77080,16507.0,138700.0,102400.0,179500.0,837.0
77081,19363.0,201800.0,114300.0,319600.0,727.0
77082,23616.0,125200.0,98300.0,212100.0,1073.0
77083,22166.0,116100.0,92600.0,146400.0,1147.0
77084,34487.0,124700.0,100300.0,159000.0,1212.0
77085,4954.0,102500.0,85100.0,119900.0,1060.0
77086,8493.0,92300.0,79400.0,108500.0,955.0
77087,11832.0,85500.0,69800.0,105600.0,705.0
77088,18307.0,92500.0,74100.0,114200.0,878.0
77089,17293.0,121000.0,97800.0,155900.0,1108.0
77090,16851.0,137800.0,99100.0,164600.0,922.0
77091,10982.0,95800.0,66800.0,150500.0,711.0
77092,15005.0,128800.0,88900.0,165200.0,755.0
77093,13986.0,74300.0,53200.0,94400.0,622.0
77094,3233.0,308700.0,236900.0,485000.0,2047.0
77095,24413.0,168400.0,138600.0,214200.0,1426.0
77096,15815.0,264500.0,186200.0,352900.0,929.0
77098,8890.0,428800.0,270400.0,623500.0,1474.0
77099,17926.0,95500.0,82100.0,113300.0,877.0
77201,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77336,4515.0,159000.0,93800.0,306900.0,1136.0
77338,13385.0,102300.0,82500.0,132000.0,996.0
77339,16661.0,150300.0,124800.0,181000.0,1197.0
77345,10334.0,243200.0,176500.0,329600.0,1671.0
77346,19364.0,159100.0,129400.0,206100.0,1479.0
77373,19799.0,112800.0,87100.0,151100.0,1230.0
77375,15415.0,145500.0,109600.0,179800.0,1197.0
77377,10301.0,205800.0,147200.0,268900.0,1389.0
77379,25620.0,193700.0,147700.0,277100.0,1555.0
77388,14895.0,151600.0,118800.0,198100.0,1446.0
77389,9094.0,202100.0,127200.0,353500.0,1707.0
77396,15789.0,110300.0,77800.0,169600.0,1159.0
77401,6942.0,645000.0,369700.0,891200.0,2159.0
77429,26298.0,186100.0,142300.0,275500.0,1508.0
77433,19071.0,184100.0,139000.0,282500.0,1594.0
77447,4200.0,122300.0,78600.0,239000.0,1076.0
77449,30224.0,120100.0,97300.0,145800.0,1313.0
77450,25530.0,203300.0,145500.0,293800.0,1466.0
77484,4022.0,121900.0,70200.0,249500.0,782.0
77493,8191.0,153400.0,117300.0,191600.0,1307.0
77502,11724.0,91500.0,72600.0,114100.0,853.0
77503,8626.0,88000.0,71200.0,105100.0,781.0
77504,10274.0,121000.0,76200.0,164400.0,825.0
77505,8993.0,162400.0,121400.0,199900.0,1193.0
77506,12133.0,71200.0,54300.0,85100.0,693.0
77507,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
