Zipcode,Total Housing Unit,Median Value,Lower value quartile (dollars),Upper value quartile (dollars),Median monthly housing costs
77074,14794.0,108700.0,84200.0,145500.0,786.0
77075,13616.0,120800.0,92300.0,144600.0,991.0
77076,10638.0,86100.0,70800.0,109000.0,782.0
77077,29133.0,244400.0,174300.0,350500.0,1160.0
77078,5269.0,69600.0,52800.0,85400.0,702.0
77079,13612.0,405700.0,216900.0,618200.0,1364.0
77080,16518.0,157600.0,112700.0,221500.0,868.0
77081,20204.0,205500.0,107600.0,387700.0,748.0
77082,24313.0,138800.0,104100.0,207400.0,1085.0
77083,22462.0,120700.0,94200.0,150600.0,1091.0
77084,35307.0,134300.0,103700.0,168700.0,1196.0
77085,5180.0,103900.0,82100.0,126100.0,1045.0
77086,8384.0,92800.0,78400.0,114400.0,955.0
77087,12015.0,86500.0,68000.0,109200.0,687.0
77088,18988.0,95600.0,76800.0,119800.0,860.0
77089,18085.0,129900.0,100100.0,165300.0,1109.0
77090,17517.0,142300.0,106100.0,170400.0,928.0
77091,10862.0,108100.0,67000.0,180500.0,727.0
77092,15559.0,139500.0,84800.0,190400.0,773.0
77093,14306.0,76400.0,52700.0,100100.0,616.0
77094,3271.0,351000.0,260400.0,481300.0,1858.0
77095,25364.0,182200.0,145500.0,231400.0,1381.0
77096,16042.0,292300.0,207700.0,391800.0,962.0
77098,8960.0,440000.0,283300.0,685500.0,1537.0
77099,18258.0,98800.0,82400.0,119000.0,875.0
77201,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77336,4680.0,158900.0,80300.0,312300.0,1083.0
77338,13884.0,114100.0,90600.0,152800.0,1035.0
77339,16924.0,163500.0,132100.0,217400.0,1229.0
77345,10341.0,261500.0,193200.0,355700.0,1691.0
77346,20667.0,170900.0,136200.0,229800.0,1459.0
77373,20476.0,121200.0,91700.0,164700.0,1196.0
77375,16104.0,159700.0,122000.0,224800.0,1275.0
77377,11606.0,233700.0,169700.0,301600.0,1457.0
77379,27309.0,215600.0,159200.0,299900.0,1501.0
77388,15638.0,162100.0,125700.0,217600.0,1426.0
77389,10681.0,267900.0,153700.0,397400.0,1721.0
77396,16705.0,124200.0,83500.0,210900.0,1169.0
77401,7177.0,768800.0,505600.0,992900.0,2380.0
77429,27601.0,209100.0,151400.0,301400.0,1503.0
77433,21917.0,211700.0,149400.0,319400.0,1620.0
77447,4911.0,127900.0,83100.0,256700.0,1127.0
77449,33442.0,132500.0,105600.0,162100.0,1332.0
77450,25855.0,227800.0,159300.0,338000.0,1452.0
77484,4021.0,162600.0,71700.0,258400.0,816.0
77493,8829.0,162800.0,121900.0,230000.0,1351.0
77502,11782.0,91600.0,72400.0,115800.0,838.0
77503,8588.0,89100.0,71100.0,112200.0,799.0
77504,10192.0,128000.0,91100.0,169400.0,837.0
77505,9027.0,164100.0,122900.0,210900.0,1140.0
77506,12099.0,70400.0,53000.0,84300.0,707.0
77507,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
77520,14204.0,78600.0,50900.0,114600.0,778.0
77521,20952.0,124500.0,85800.0,167800.0,942.0
77530,9723.0,88000.0,66300.0,115300.0,871.0
77532,10369.0,126300.0,85700.0,170100.0,1020.0
77536,11589.0,141100.0,109200.0,180200.0,1169.0
77547,2885.0,66900.0,56700.0,83000.0,722.0
77562,3991.0,96400.0,61800.0,149400.0,790.0
77571,14042.0,128800.0,101000.0,167800.0,1056.0
