Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions
77072,50.0,7.0,33.0,63.0,72.0,86.0,66.0,362.0,419.0,719.0,716.0,967.0,1381.0,2027.0,586.0,374.0,134.0,99.0,0.0,0.0,0.0,0.0,0.0,59.0
77073,63.0,32.0,77.0,13.0,62.0,84.0,33.0,102.0,27.0,216.0,553.0,716.0,941.0,2212.0,1136.0,281.0,353.0,39.0,0.0,0.0,0.0,0.0,18.0,0.0
77074,34.0,32.0,20.0,70.0,53.0,98.0,60.0,124.0,175.0,155.0,281.0,539.0,561.0,1217.0,407.0,306.0,132.0,204.0,39.0,52.0,0.0,0.0,0.0,16.0
77075,29.0,63.0,45.0,131.0,10.0,51.0,0.0,142.0,65.0,241.0,392.0,620.0,455.0,2158.0,1393.0,706.0,160.0,61.0,9.0,100.0,75.0,29.0,0.0,18.0
77076,123.0,47.0,50.0,48.0,111.0,34.0,14.0,155.0,408.0,460.0,604.0,1026.0,640.0,723.0,259.0,143.0,34.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0
77077,56.0,0.0,53.0,12.0,42.0,62.0,0.0,54.0,31.0,14.0,105.0,199.0,157.0,456.0,783.0,1306.0,1099.0,1399.0,1324.0,1004.0,447.0,468.0,125.0,42.0
77078,36.0,0.0,20.0,55.0,28.0,155.0,101.0,259.0,292.0,451.0,386.0,388.0,89.0,160.0,44.0,57.0,10.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0
77079,55.0,12.0,0.0,0.0,6.0,57.0,20.0,34.0,37.0,23.0,79.0,157.0,274.0,652.0,455.0,310.0,111.0,406.0,627.0,1769.0,1086.0,1212.0,344.0,219.0
77080,106.0,39.0,40.0,11.0,21.0,10.0,25.0,52.0,36.0,127.0,191.0,326.0,301.0,1032.0,821.0,921.0,504.0,594.0,144.0,103.0,50.0,39.0,8.0,33.0
77081,16.0,15.0,0.0,27.0,0.0,20.0,8.0,20.0,4.0,39.0,0.0,17.0,28.0,102.0,149.0,30.0,27.0,83.0,146.0,135.0,51.0,28.0,54.0,11.0
77082,60.0,0.0,6.0,0.0,0.0,18.0,0.0,4.0,46.0,240.0,214.0,543.0,915.0,1720.0,797.0,583.0,324.0,789.0,489.0,209.0,101.0,218.0,73.0,198.0
77083,203.0,115.0,41.0,0.0,32.0,44.0,0.0,147.0,88.0,451.0,472.0,1621.0,1783.0,3642.0,2777.0,1914.0,664.0,454.0,120.0,92.0,0.0,0.0,0.0,23.0
77084,150.0,53.0,19.0,8.0,0.0,0.0,36.0,34.0,95.0,189.0,606.0,1481.0,2304.0,5165.0,3873.0,3052.0,1089.0,1313.0,326.0,327.0,17.0,0.0,0.0,17.0
77085,56.0,24.0,45.0,0.0,24.0,8.0,18.0,7.0,150.0,108.0,196.0,273.0,530.0,1119.0,386.0,83.0,58.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
77086,62.0,69.0,89.0,14.0,0.0,0.0,7.0,0.0,169.0,291.0,496.0,907.0,1014.0,1132.0,261.0,92.0,25.0,8.0,20.0,0.0,5.0,0.0,0.0,11.0
77087,115.0,20.0,85.0,6.0,12.0,135.0,59.0,228.0,208.0,611.0,883.0,1043.0,784.0,955.0,379.0,167.0,120.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0
77088,127.0,76.0,52.0,91.0,137.0,222.0,80.0,340.0,252.0,808.0,973.0,1585.0,1674.0,2345.0,698.0,421.0,155.0,165.0,76.0,45.0,7.0,0.0,0.0,6.0
77089,111.0,31.0,22.0,35.0,42.0,31.0,31.0,12.0,20.0,455.0,226.0,665.0,1305.0,2865.0,1902.0,1441.0,522.0,473.0,474.0,96.0,0.0,0.0,0.0,29.0
77090,47.0,0.0,0.0,0.0,0.0,0.0,26.0,63.0,59.0,37.0,150.0,276.0,184.0,404.0,793.0,754.0,279.0,87.0,47.0,0.0,45.0,36.0,17.0,0.0
77091,87.0,20.0,5.0,32.0,9.0,94.0,106.0,147.0,151.0,338.0,352.0,291.0,227.0,565.0,215.0,342.0,181.0,171.0,103.0,67.0,0.0,7.0,0.0,17.0
77092,95.0,17.0,32.0,21.0,0.0,27.0,8.0,65.0,269.0,239.0,217.0,298.0,280.0,812.0,871.0,846.0,291.0,420.0,86.0,51.0,38.0,0.0,9.0,30.0
77093,167.0,87.0,148.0,14.0,56.0,143.0,145.0,632.0,895.0,696.0,887.0,875.0,676.0,760.0,259.0,108.0,35.0,59.0,53.0,10.0,8.0,0.0,0.0,9.0
77094,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,82.0,57.0,19.0,0.0,7.0,157.0,472.0,520.0,497.0,274.0,424.0,84.0,138.0
77095,86.0,53.0,16.0,81.0,0.0,13.0,0.0,19.0,29.0,77.0,65.0,283.0,395.0,1324.0,3265.0,3726.0,2412.0,2892.0,1216.0,738.0,157.0,38.0,0.0,0.0
77096,63.0,11.0,45.0,0.0,22.0,15.0,8.0,49.0,75.0,41.0,51.0,134.0,77.0,241.0,255.0,506.0,506.0,1145.0,1361.0,1616.0,447.0,456.0,105.0,50.0
77098,36.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,0.0,45.0,13.0,14.0,68.0,184.0,33.0,85.0,157.0,325.0,608.0,324.0,188.0,241.0
77099,86.0,17.0,55.0,79.0,44.0,85.0,0.0,152.0,97.0,332.0,528.0,1050.0,1575.0,1847.0,490.0,219.0,55.0,28.0,14.0,0.0,0.0,0.0,9.0,16.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,91.0,11.0,9.0,79.0,0.0,0.0,18.0,18.0,79.0,166.0,194.0,123.0,98.0,373.0,261.0,363.0,91.0,177.0,286.0,576.0,191.0,62.0,18.0,18.0
77338,37.0,87.0,34.0,28.0,14.0,0.0,92.0,58.0,248.0,319.0,558.0,662.0,1006.0,1551.0,840.0,688.0,113.0,72.0,40.0,69.0,56.0,0.0,0.0,0.0
77339,120.0,88.0,47.0,5.0,0.0,0.0,0.0,12.0,45.0,61.0,71.0,138.0,557.0,1346.0,2431.0,2327.0,711.0,778.0,463.0,332.0,140.0,163.0,38.0,13.0
77345,67.0,0.0,23.0,0.0,69.0,0.0,28.0,13.0,45.0,16.0,49.0,0.0,7.0,137.0,675.0,872.0,654.0,1649.0,1402.0,1394.0,505.0,470.0,60.0,23.0
77346,223.0,33.0,35.0,6.0,0.0,15.0,14.0,0.0,26.0,93.0,139.0,234.0,517.0,1820.0,3174.0,3037.0,1551.0,1889.0,1112.0,606.0,133.0,103.0,44.0,60.0
77373,51.0,12.0,84.0,20.0,17.0,22.0,0.0,187.0,250.0,449.0,1087.0,1808.0,1556.0,2738.0,2047.0,1784.0,667.0,538.0,353.0,187.0,15.0,0.0,0.0,8.0
77375,118.0,96.0,132.0,21.0,33.0,148.0,98.0,24.0,48.0,66.0,335.0,337.0,372.0,1137.0,1908.0,1809.0,589.0,732.0,306.0,335.0,87.0,244.0,52.0,34.0
77377,67.0,101.0,17.0,29.0,22.0,6.0,67.0,55.0,14.0,92.0,160.0,198.0,122.0,419.0,726.0,834.0,893.0,1749.0,1239.0,876.0,177.0,101.0,40.0,47.0
77379,88.0,62.0,30.0,48.0,0.0,15.0,9.0,27.0,33.0,0.0,47.0,146.0,293.0,2031.0,2211.0,2704.0,2587.0,2946.0,2277.0,2103.0,882.0,496.0,184.0,130.0
77388,135.0,47.0,0.0,37.0,17.0,18.0,0.0,16.0,0.0,46.0,175.0,545.0,485.0,2225.0,2488.0,2336.0,1084.0,1961.0,644.0,297.0,67.0,83.0,14.0,44.0
77389,56.0,24.0,122.0,38.0,84.0,63.0,126.0,128.0,63.0,65.0,91.0,122.0,292.0,580.0,844.0,847.0,284.0,704.0,676.0,1080.0,600.0,578.0,159.0,90.0
77396,216.0,213.0,91.0,28.0,143.0,68.0,90.0,79.0,351.0,514.0,681.0,794.0,752.0,1516.0,874.0,711.0,354.0,648.0,418.0,460.0,129.0,59.0,69.0,31.0
77401,35.0,0.0,0.0,15.0,0.0,8.0,15.0,9.0,0.0,11.0,10.0,5.0,10.0,20.0,16.0,85.0,45.0,314.0,334.0,556.0,387.0,1317.0,1357.0,729.0
77429,118.0,58.0,80.0,50.0,0.0,33.0,60.0,95.0,58.0,58.0,61.0,135.0,486.0,1714.0,3100.0,3446.0,1686.0,2938.0,2484.0,1846.0,853.0,897.0,194.0,137.0
77433,68.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,72.0,398.0,470.0,565.0,1025.0,1941.0,2321.0,1460.0,1756.0,1567.0,2001.0,779.0,266.0,80.0,33.0
77447,16.0,33.0,53.0,59.0,0.0,106.0,26.0,62.0,81.0,225.0,220.0,131.0,155.0,597.0,197.0,256.0,89.0,314.0,236.0,266.0,139.0,61.0,51.0,28.0
77449,166.0,70.0,113.0,138.0,51.0,0.0,21.0,77.0,189.0,395.0,924.0,1338.0,2482.0,5730.0,5007.0,3129.0,662.0,461.0,73.0,95.0,0.0,0.0,0.0,14.0
77450,158.0,29.0,18.0,47.0,37.0,0.0,0.0,0.0,31.0,67.0,39.0,375.0,462.0,1638.0,1771.0,2104.0,1728.0,3121.0,1648.0,2410.0,1114.0,464.0,49.0,115.0
77493,76.0,80.0,28.0,36.0,6.0,0.0,0.0,81.0,28.0,65.0,127.0,281.0,171.0,819.0,1110.0,1359.0,561.0,616.0,247.0,211.0,161.0,74.0,7.0,43.0
77502,165.0,158.0,99.0,24.0,52.0,12.0,96.0,91.0,271.0,507.0,903.0,882.0,1119.0,1339.0,585.0,387.0,64.0,31.0,24.0,22.0,7.0,0.0,0.0,9.0
77503,256.0,71.0,72.0,28.0,50.0,0.0,0.0,133.0,132.0,276.0,611.0,693.0,820.0,658.0,267.0,144.0,57.0,66.0,35.0,0.0,0.0,0.0,0.0,0.0
77504,117.0,69.0,71.0,40.0,43.0,63.0,70.0,101.0,108.0,154.0,87.0,137.0,272.0,534.0,495.0,538.0,311.0,250.0,20.0,26.0,18.0,27.0,0.0,10.0
77505,80.0,59.0,28.0,6.0,0.0,0.0,0.0,0.0,12.0,19.0,105.0,52.0,360.0,920.0,814.0,1141.0,938.0,1100.0,153.0,193.0,4.0,54.0,0.0,0.0
77506,78.0,16.0,17.0,37.0,50.0,120.0,71.0,441.0,568.0,670.0,679.0,936.0,185.0,197.0,75.0,59.0,37.0,32.0,0.0,0.0,0.0,9.0,12.0,7.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
