Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77401,9.0,0.0,17.0,29.0,46.0,95.0,208.0,166.0,221.0,145.0,946.0,1038.0,537.0,372.0,2828.0
77429,38.0,99.0,226.0,623.0,783.0,709.0,738.0,1046.0,1228.0,1291.0,6463.0,6654.0,2917.0,2112.0,1645.0
77433,0.0,16.0,147.0,216.0,245.0,327.0,530.0,402.0,401.0,574.0,5957.0,5391.0,3138.0,1744.0,1860.0
77447,0.0,37.0,143.0,164.0,231.0,328.0,239.0,243.0,62.0,409.0,1437.0,646.0,357.0,172.0,83.0
77449,22.0,119.0,280.0,591.0,865.0,906.0,771.0,838.0,1131.0,1477.0,14358.0,8810.0,1293.0,97.0,145.0
77450,70.0,73.0,106.0,417.0,449.0,663.0,897.0,923.0,1057.0,1365.0,6801.0,5408.0,2907.0,1664.0,1679.0
77493,22.0,29.0,104.0,196.0,359.0,259.0,407.0,429.0,88.0,455.0,2721.0,2034.0,767.0,192.0,311.0
77502,0.0,89.0,585.0,850.0,636.0,986.0,959.0,894.0,740.0,646.0,3359.0,638.0,156.0,0.0,25.0
77503,25.0,201.0,401.0,415.0,632.0,665.0,595.0,1052.0,853.0,772.0,2059.0,261.0,0.0,0.0,0.0
77504,17.0,51.0,258.0,229.0,467.0,402.0,1173.0,1348.0,1095.0,914.0,1831.0,638.0,155.0,31.0,100.0
77505,0.0,30.0,99.0,216.0,471.0,215.0,498.0,618.0,722.0,557.0,2483.0,1639.0,606.0,117.0,79.0
77506,67.0,307.0,719.0,792.0,629.0,1346.0,1452.0,1045.0,1201.0,998.0,2044.0,152.0,13.0,0.0,0.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,113.0,385.0,783.0,1072.0,895.0,964.0,1028.0,1090.0,1154.0,901.0,2874.0,670.0,160.0,30.0,62.0
77521,13.0,334.0,603.0,585.0,1100.0,1647.0,1763.0,1287.0,1470.0,1394.0,5036.0,2609.0,599.0,234.0,101.0
77530,6.0,73.0,430.0,469.0,833.0,737.0,641.0,999.0,512.0,943.0,2817.0,539.0,92.0,0.0,14.0
77532,74.0,172.0,404.0,359.0,557.0,512.0,640.0,432.0,892.0,653.0,2901.0,1597.0,309.0,105.0,58.0
77536,17.0,126.0,262.0,307.0,507.0,673.0,617.0,537.0,560.0,464.0,3696.0,1707.0,733.0,280.0,78.0
77547,0.0,104.0,158.0,276.0,390.0,139.0,217.0,259.0,229.0,216.0,646.0,29.0,8.0,0.0,5.0
77562,17.0,148.0,274.0,304.0,401.0,175.0,224.0,287.0,219.0,313.0,877.0,309.0,53.0,0.0,0.0
77571,26.0,230.0,343.0,508.0,880.0,875.0,865.0,908.0,549.0,806.0,4109.0,2351.0,518.0,58.0,62.0
