Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77020,27587.0,8502.0,1135.0,1093.0,995.0,731.0,628.0,608.0,288.0,430.0,355.0,576.0,552.0,401.0,373.0,125.0,106.0,106.0
77021,35126.0,10770.0,1577.0,1105.0,810.0,778.0,551.0,551.0,386.0,604.0,455.0,754.0,982.0,897.0,554.0,272.0,270.0,224.0
77030,75290.0,4994.0,626.0,134.0,123.0,173.0,55.0,99.0,141.0,221.0,232.0,273.0,412.0,528.0,395.0,263.0,386.0,933.0
77037,41491.0,5441.0,393.0,385.0,402.0,376.0,444.0,309.0,297.0,251.0,393.0,859.0,441.0,384.0,260.0,185.0,41.0,21.0
77045,51170.0,10330.0,689.0,503.0,649.0,551.0,526.0,722.0,597.0,403.0,394.0,1097.0,1238.0,1513.0,663.0,304.0,364.0,117.0
77082,53999.0,22547.0,1590.0,904.0,1237.0,1122.0,938.0,1551.0,1163.0,1086.0,852.0,1791.0,2811.0,2424.0,2056.0,681.0,1143.0,1198.0
77084,65617.0,33790.0,895.0,843.0,1201.0,1346.0,1661.0,1842.0,1528.0,1709.0,1575.0,2750.0,4233.0,5469.0,3503.0,1636.0,1898.0,1701.0
77346,98840.0,20466.0,591.0,339.0,414.0,394.0,328.0,724.0,594.0,390.0,791.0,1385.0,1991.0,2465.0,3357.0,1833.0,2529.0,2341.0
77373,67924.0,19731.0,919.0,475.0,587.0,520.0,614.0,957.0,1288.0,548.0,892.0,1768.0,2555.0,2987.0,2300.0,1329.0,1269.0,723.0
77035,44546.0,14144.0,1190.0,880.0,1152.0,1024.0,837.0,802.0,658.0,572.0,528.0,1255.0,1086.0,1281.0,912.0,427.0,803.0,737.0
77041,79503.0,11649.0,437.0,274.0,493.0,357.0,420.0,507.0,266.0,358.0,538.0,902.0,1164.0,1176.0,1274.0,860.0,1181.0,1442.0
77050,57163.0,1404.0,30.0,29.0,20.0,37.0,140.0,88.0,77.0,122.0,16.0,170.0,166.0,214.0,166.0,54.0,68.0,7.0
77063,44957.0,18281.0,1693.0,1070.0,1093.0,1141.0,1173.0,1066.0,747.0,1166.0,954.0,1493.0,1202.0,1946.0,1193.0,726.0,551.0,1067.0
