Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77041,26.0,183.0,248.0,361.0,335.0,503.0,551.0,389.0,456.0,810.0,3375.0,1749.0,2224.0,32.0
77042,58.0,0.0,105.0,215.0,414.0,1116.0,1966.0,2172.0,1944.0,1709.0,4513.0,993.0,1447.0,186.0
77043,17.0,64.0,139.0,236.0,347.0,609.0,727.0,993.0,743.0,795.0,1721.0,728.0,565.0,146.0
77044,0.0,194.0,259.0,302.0,487.0,364.0,248.0,417.0,402.0,386.0,2425.0,1337.0,2313.0,52.0
77045,32.0,170.0,471.0,875.0,678.0,526.0,604.0,602.0,574.0,349.0,3279.0,768.0,99.0,331.0
77046,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,387.0,169.0,243.0,15.0
77047,0.0,55.0,219.0,501.0,409.0,430.0,294.0,377.0,447.0,568.0,2476.0,1494.0,279.0,215.0
77048,77.0,147.0,368.0,374.0,409.0,430.0,576.0,546.0,330.0,221.0,1112.0,495.0,89.0,68.0
77049,0.0,118.0,121.0,219.0,105.0,367.0,394.0,385.0,729.0,718.0,2541.0,2087.0,529.0,120.0
77050,33.0,35.0,51.0,96.0,218.0,65.0,235.0,90.0,90.0,107.0,210.0,0.0,8.0,60.0
77051,115.0,348.0,514.0,578.0,387.0,449.0,488.0,526.0,368.0,422.0,930.0,146.0,21.0,223.0
77054,0.0,13.0,58.0,82.0,295.0,334.0,1097.0,1659.0,1754.0,1281.0,3866.0,789.0,381.0,50.0
77055,0.0,127.0,240.0,450.0,358.0,879.0,1547.0,2097.0,1646.0,967.0,2801.0,785.0,2149.0,209.0
77056,12.0,0.0,46.0,49.0,58.0,82.0,71.0,455.0,578.0,861.0,2563.0,1139.0,3319.0,55.0
77057,17.0,13.0,133.0,133.0,313.0,872.0,1688.0,2511.0,2219.0,1474.0,4939.0,2195.0,3054.0,147.0
77058,0.0,21.0,57.0,98.0,106.0,559.0,881.0,1037.0,838.0,1030.0,2614.0,644.0,632.0,108.0
77059,0.0,15.0,13.0,40.0,34.0,135.0,190.0,189.0,246.0,261.0,978.0,1457.0,2450.0,18.0
77060,27.0,156.0,181.0,407.0,717.0,2054.0,2702.0,1918.0,1377.0,1045.0,1766.0,546.0,63.0,206.0
77061,38.0,37.0,267.0,312.0,501.0,1385.0,1488.0,1192.0,808.0,353.0,1098.0,585.0,231.0,187.0
