Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77048,5312.0,3768.0,1778.0,1990.0,428.0,1562.0,1544.0,1346.0,198.0
77049,9448.0,7304.0,5026.0,2278.0,570.0,1708.0,2144.0,1728.0,416.0
77050,1454.0,1171.0,861.0,310.0,12.0,298.0,283.0,193.0,90.0
77051,5793.0,3623.0,1223.0,2400.0,267.0,2133.0,2170.0,1862.0,308.0
77054,12430.0,4482.0,2875.0,1607.0,598.0,1009.0,7948.0,6171.0,1777.0
77055,14637.0,9711.0,6418.0,3293.0,993.0,2300.0,4926.0,3839.0,1087.0
77056,9688.0,4357.0,3751.0,606.0,89.0,517.0,5331.0,4599.0,732.0
77057,19940.0,8279.0,5855.0,2424.0,948.0,1476.0,11661.0,9842.0,1819.0
77058,8349.0,3422.0,2263.0,1159.0,305.0,854.0,4927.0,3990.0,937.0
77059,5867.0,5009.0,4644.0,365.0,115.0,250.0,858.0,651.0,207.0
77060,13712.0,9449.0,4278.0,5171.0,1370.0,3801.0,4263.0,3298.0,965.0
77061,8677.0,5605.0,3071.0,2534.0,867.0,1667.0,3072.0,2512.0,560.0
77062,9763.0,7151.0,5679.0,1472.0,506.0,966.0,2612.0,2072.0,540.0
77063,17804.0,7953.0,5385.0,2568.0,494.0,2074.0,9851.0,8520.0,1331.0
77064,15941.0,11522.0,8636.0,2886.0,797.0,2089.0,4419.0,3720.0,699.0
77065,14984.0,9662.0,6548.0,3114.0,779.0,2335.0,5322.0,4758.0,564.0
77066,9803.0,8038.0,5519.0,2519.0,651.0,1868.0,1765.0,1444.0,321.0
77067,9762.0,7407.0,3997.0,3410.0,829.0,2581.0,2355.0,1899.0,456.0
77068,3915.0,3010.0,2273.0,737.0,328.0,409.0,905.0,653.0,252.0
77069,8035.0,4800.0,3634.0,1166.0,193.0,973.0,3235.0,2730.0,505.0
77070,18740.0,12292.0,8673.0,3619.0,920.0,2699.0,6448.0,5225.0,1223.0
77071,10045.0,6720.0,3894.0,2826.0,465.0,2361.0,3325.0,3046.0,279.0
77072,17638.0,13606.0,7903.0,5703.0,1931.0,3772.0,4032.0,3252.0,780.0
77073,12216.0,9900.0,5936.0,3964.0,1204.0,2760.0,2316.0,1626.0,690.0
77074,12348.0,7938.0,4963.0,2975.0,894.0,2081.0,4410.0,3504.0,906.0
77075,12625.0,9902.0,6362.0,3540.0,735.0,2805.0,2723.0,2122.0,601.0
77076,9414.0,7665.0,4116.0,3549.0,966.0,2583.0,1749.0,1517.0,232.0
77077,25129.0,14093.0,10280.0,3813.0,606.0,3207.0,11036.0,9577.0,1459.0
77078,4720.0,3621.0,1924.0,1697.0,299.0,1398.0,1099.0,971.0,128.0
77079,12351.0,8690.0,7048.0,1642.0,395.0,1247.0,3661.0,3121.0,540.0
77080,14833.0,10439.0,6016.0,4423.0,1356.0,3067.0,4394.0,3212.0,1182.0
77081,16677.0,9823.0,5701.0,4122.0,1463.0,2659.0,6854.0,5615.0,1239.0
77082,21450.0,13131.0,7896.0,5235.0,1129.0,4106.0,8319.0,7051.0,1268.0
77083,21204.0,17624.0,12015.0,5609.0,1426.0,4183.0,3580.0,3140.0,440.0
77084,33270.0,25206.0,18189.0,7017.0,2187.0,4830.0,8064.0,6685.0,1379.0
77085,4867.0,3851.0,2537.0,1314.0,371.0,943.0,1016.0,919.0,97.0
77086,7980.0,6544.0,3908.0,2636.0,598.0,2038.0,1436.0,1181.0,255.0
77087,10794.0,7913.0,4813.0,3100.0,725.0,2375.0,2881.0,2241.0,640.0
77088,16768.0,12227.0,6929.0,5298.0,1350.0,3948.0,4541.0,3814.0,727.0
77089,16775.0,12839.0,8970.0,3869.0,1268.0,2601.0,3936.0,3084.0,852.0
77090,14527.0,8789.0,4280.0,4509.0,925.0,3584.0,5738.0,4793.0,945.0
77091,8913.0,5444.0,2909.0,2535.0,347.0,2188.0,3469.0,2930.0,539.0
77092,13294.0,7932.0,4911.0,3021.0,759.0,2262.0,5362.0,4025.0,1337.0
77093,11602.0,8743.0,5315.0,3428.0,914.0,2514.0,2859.0,2495.0,364.0
77094,3057.0,2598.0,2441.0,157.0,61.0,96.0,459.0,425.0,34.0
77095,24198.0,18942.0,15101.0,3841.0,939.0,2902.0,5256.0,4426.0,830.0
77096,14635.0,9166.0,6803.0,2363.0,509.0,1854.0,5469.0,4650.0,819.0
77098,7648.0,2330.0,2012.0,318.0,102.0,216.0,5318.0,4542.0,776.0
77099,15663.0,10453.0,6347.0,4106.0,1057.0,3049.0,5210.0,4498.0,712.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,4281.0,3165.0,2414.0,751.0,301.0,450.0,1116.0,1087.0,29.0
77338,12814.0,9272.0,6117.0,3155.0,828.0,2327.0,3542.0,3054.0,488.0
77339,15361.0,10622.0,8537.0,2085.0,559.0,1526.0,4739.0,3952.0,787.0
77345,9995.0,7936.0,7037.0,899.0,379.0,520.0,2059.0,1761.0,298.0
77346,18927.0,15768.0,12529.0,3239.0,840.0,2399.0,3159.0,2655.0,504.0
77373,18830.0,14153.0,10444.0,3709.0,731.0,2978.0,4677.0,3839.0,838.0
77375,14080.0,10594.0,8169.0,2425.0,792.0,1633.0,3486.0,2645.0,841.0
77377,10522.0,8557.0,7467.0,1090.0,427.0,663.0,1965.0,1688.0,277.0
77379,25319.0,20590.0,17365.0,3225.0,1177.0,2048.0,4729.0,3965.0,764.0
77388,14998.0,11706.0,9389.0,2317.0,576.0,1741.0,3292.0,2684.0,608.0
77389,9220.0,7548.0,6625.0,923.0,111.0,812.0,1672.0,1368.0,304.0
77396,15531.0,11230.0,7745.0,3485.0,1211.0,2274.0,4301.0,3777.0,524.0
77401,6655.0,4905.0,4364.0,541.0,267.0,274.0,1750.0,1543.0,207.0
77429,25991.0,21141.0,18114.0,3027.0,684.0,2343.0,4850.0,3917.0,933.0
77433,19465.0,16108.0,14085.0,2023.0,680.0,1343.0,3357.0,2816.0,541.0
77447,4062.0,3319.0,2676.0,643.0,173.0,470.0,743.0,522.0,221.0
77449,30407.0,25289.0,18349.0,6940.0,1420.0,5520.0,5118.0,4179.0,939.0
77450,24901.0,19755.0,16254.0,3501.0,651.0,2850.0,5146.0,4350.0,796.0
77484,3817.0,2982.0,2454.0,528.0,222.0,306.0,835.0,716.0,119.0
77493,8141.0,6500.0,5189.0,1311.0,353.0,958.0,1641.0,1205.0,436.0
77502,10930.0,8413.0,5973.0,2440.0,745.0,1695.0,2517.0,2143.0,374.0
77503,7889.0,5599.0,3424.0,2175.0,690.0,1485.0,2290.0,1858.0,432.0
77504,8802.0,5591.0,3458.0,2133.0,658.0,1475.0,3211.0,2717.0,494.0
77505,8410.0,6402.0,4879.0,1523.0,450.0,1073.0,2008.0,1748.0,260.0
77506,10770.0,8024.0,4780.0,3244.0,1020.0,2224.0,2746.0,2220.0,526.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,12561.0,8931.0,5693.0,3238.0,853.0,2385.0,3630.0,3256.0,374.0
77521,18434.0,13433.0,8998.0,4435.0,1099.0,3336.0,5001.0,4402.0,599.0
77530,9132.0,6768.0,4413.0,2355.0,774.0,1581.0,2364.0,1748.0,616.0
77532,9645.0,7864.0,5868.0,1996.0,892.0,1104.0,1781.0,1437.0,344.0
77536,10888.0,8770.0,6610.0,2160.0,664.0,1496.0,2118.0,1784.0,334.0
77547,2656.0,2165.0,1305.0,860.0,162.0,698.0,491.0,398.0,93.0
77562,3573.0,2643.0,1909.0,734.0,240.0,494.0,930.0,837.0,93.0
77571,12891.0,9678.0,7218.0,2460.0,937.0,1523.0,3213.0,2565.0,648.0
77586,8568.0,5425.0,4402.0,1023.0,312.0,711.0,3143.0,2696.0,447.0
77587,4616.0,3734.0,2707.0,1027.0,295.0,732.0,882.0,724.0,158.0
77598,9951.0,5082.0,2662.0,2420.0,851.0,1569.0,4869.0,3816.0,1053.0
