Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions,House Value from 1.5 millions to 2 millions,House Value more than 2 millions
77012,34.0,14.0,16.0,53.0,6.0,12.0,45.0,228.0,162.0,403.0,325.0,351.0,221.0,429.0,77.0,28.0,21.0,61.0,18.0,8.0,0.0,19.0,5.0,0.0,0.0,0.0
77013,30.0,78.0,43.0,16.0,50.0,6.0,37.0,43.0,129.0,227.0,211.0,560.0,310.0,264.0,137.0,97.0,39.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77014,89.0,20.0,0.0,0.0,74.0,67.0,13.0,68.0,120.0,235.0,243.0,313.0,206.0,1192.0,1369.0,664.0,225.0,127.0,116.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
77015,234.0,102.0,71.0,49.0,170.0,210.0,120.0,260.0,585.0,617.0,898.0,1088.0,808.0,1860.0,643.0,603.0,157.0,212.0,66.0,5.0,23.0,0.0,19.0,0.0,0.0,0.0
77016,161.0,76.0,49.0,203.0,164.0,380.0,459.0,600.0,724.0,833.0,807.0,714.0,308.0,291.0,96.0,105.0,89.0,43.0,13.0,19.0,15.0,13.0,5.0,9.0,0.0,0.0
77017,59.0,22.0,15.0,0.0,21.0,81.0,67.0,92.0,219.0,776.0,925.0,644.0,644.0,914.0,471.0,169.0,53.0,65.0,10.0,7.0,6.0,23.0,7.0,0.0,0.0,0.0
77018,52.0,64.0,45.0,37.0,0.0,54.0,17.0,23.0,32.0,21.0,68.0,45.0,83.0,328.0,338.0,436.0,412.0,1095.0,1112.0,1359.0,675.0,613.0,253.0,59.0,20.0,20.0
77019,59.0,30.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,43.0,16.0,37.0,108.0,142.0,262.0,153.0,379.0,459.0,750.0,491.0,629.0,339.0,583.0,255.0,529.0
77020,15.0,21.0,31.0,34.0,38.0,90.0,60.0,482.0,433.0,586.0,393.0,384.0,271.0,332.0,97.0,222.0,79.0,113.0,57.0,45.0,5.0,7.0,0.0,5.0,0.0,0.0
77021,40.0,21.0,17.0,30.0,70.0,146.0,170.0,296.0,319.0,455.0,378.0,294.0,222.0,293.0,82.0,192.0,189.0,98.0,125.0,217.0,117.0,182.0,11.0,8.0,0.0,0.0
77022,39.0,12.0,22.0,31.0,50.0,116.0,51.0,447.0,414.0,445.0,577.0,373.0,279.0,909.0,153.0,142.0,33.0,169.0,13.0,7.0,0.0,5.0,0.0,0.0,0.0,8.0
77023,54.0,0.0,11.0,45.0,0.0,6.0,11.0,38.0,60.0,189.0,354.0,584.0,790.0,762.0,268.0,457.0,139.0,286.0,142.0,74.0,9.0,6.0,0.0,16.0,0.0,0.0
77024,40.0,0.0,0.0,18.0,0.0,0.0,0.0,32.0,26.0,34.0,42.0,114.0,192.0,237.0,131.0,280.0,198.0,295.0,333.0,756.0,593.0,1691.0,1520.0,1571.0,969.0,1198.0
77025,136.0,10.0,0.0,0.0,12.0,11.0,0.0,49.0,24.0,27.0,161.0,30.0,71.0,69.0,228.0,214.0,132.0,605.0,452.0,1028.0,733.0,852.0,433.0,244.0,25.0,0.0
77026,58.0,0.0,46.0,142.0,102.0,265.0,171.0,393.0,466.0,291.0,283.0,358.0,173.0,227.0,90.0,124.0,8.0,55.0,26.0,10.0,17.0,0.0,0.0,0.0,2.0,9.0
77027,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,23.0,50.0,23.0,40.0,69.0,82.0,135.0,91.0,96.0,45.0,68.0,350.0,285.0,565.0,543.0,255.0,192.0,178.0
77028,34.0,17.0,56.0,138.0,141.0,256.0,142.0,479.0,519.0,328.0,337.0,321.0,103.0,147.0,99.0,30.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
77029,49.0,15.0,38.0,46.0,43.0,82.0,110.0,318.0,454.0,510.0,585.0,369.0,228.0,267.0,62.0,21.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77030,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,19.0,106.0,11.0,59.0,147.0,123.0,63.0,95.0,55.0,112.0,322.0,500.0,201.0,179.0,0.0,44.0
77031,0.0,92.0,5.0,28.0,36.0,0.0,0.0,13.0,46.0,35.0,44.0,42.0,456.0,813.0,562.0,317.0,67.0,33.0,10.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
77032,38.0,0.0,0.0,40.0,90.0,83.0,5.0,48.0,79.0,123.0,100.0,193.0,240.0,34.0,98.0,43.0,38.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77033,68.0,44.0,23.0,92.0,36.0,288.0,289.0,933.0,779.0,818.0,944.0,466.0,219.0,261.0,56.0,46.0,3.0,20.0,0.0,10.0,4.0,12.0,0.0,0.0,0.0,3.0
77034,62.0,0.0,0.0,52.0,0.0,23.0,0.0,38.0,122.0,317.0,553.0,883.0,862.0,1334.0,891.0,232.0,107.0,75.0,127.0,32.0,0.0,12.0,0.0,0.0,0.0,12.0
77035,16.0,12.0,32.0,30.0,52.0,26.0,9.0,158.0,70.0,241.0,121.0,195.0,274.0,450.0,501.0,652.0,543.0,888.0,546.0,603.0,148.0,65.0,28.0,0.0,0.0,0.0
77036,39.0,48.0,87.0,129.0,99.0,34.0,60.0,128.0,149.0,237.0,233.0,198.0,270.0,1259.0,928.0,493.0,276.0,139.0,105.0,103.0,12.0,23.0,0.0,0.0,0.0,6.0
77037,458.0,48.0,116.0,32.0,67.0,103.0,29.0,103.0,156.0,142.0,384.0,333.0,385.0,773.0,179.0,234.0,17.0,69.0,10.0,0.0,12.0,7.0,26.0,0.0,0.0,0.0
77038,152.0,68.0,84.0,98.0,6.0,112.0,0.0,27.0,84.0,415.0,447.0,548.0,441.0,680.0,432.0,284.0,23.0,60.0,0.0,0.0,0.0,37.0,17.0,0.0,0.0,0.0
77039,144.0,89.0,29.0,44.0,35.0,61.0,83.0,91.0,253.0,442.0,554.0,755.0,512.0,748.0,244.0,124.0,26.0,60.0,50.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0
77040,134.0,1.0,70.0,34.0,0.0,19.0,9.0,35.0,136.0,329.0,217.0,734.0,650.0,1967.0,1154.0,917.0,768.0,883.0,565.0,288.0,39.0,41.0,10.0,42.0,0.0,0.0
77041,225.0,129.0,85.0,67.0,91.0,68.0,31.0,64.0,143.0,129.0,217.0,592.0,565.0,1590.0,791.0,755.0,375.0,661.0,477.0,895.0,522.0,423.0,76.0,23.0,0.0,7.0
77042,49.0,12.0,51.0,24.0,41.0,33.0,22.0,357.0,214.0,319.0,108.0,116.0,65.0,261.0,272.0,320.0,144.0,457.0,415.0,882.0,487.0,280.0,97.0,32.0,9.0,87.0
77043,29.0,36.0,27.0,0.0,0.0,24.0,7.0,32.0,68.0,169.0,199.0,245.0,169.0,784.0,565.0,704.0,523.0,538.0,330.0,404.0,133.0,12.0,0.0,0.0,0.0,0.0
77044,195.0,94.0,113.0,134.0,41.0,61.0,12.0,171.0,285.0,352.0,293.0,511.0,428.0,1012.0,367.0,805.0,755.0,948.0,751.0,776.0,327.0,75.0,24.0,94.0,0.0,0.0
77045,40.0,0.0,80.0,20.0,31.0,36.0,5.0,190.0,666.0,1163.0,846.0,1172.0,794.0,862.0,255.0,87.0,114.0,10.0,37.0,128.0,11.0,20.0,0.0,0.0,0.0,0.0
77046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,43.0,80.0,13.0,75.0,0.0,0.0,0.0,0.0
77047,77.0,165.0,0.0,75.0,0.0,41.0,40.0,269.0,263.0,375.0,196.0,499.0,518.0,1394.0,949.0,779.0,168.0,171.0,16.0,60.0,0.0,15.0,14.0,31.0,0.0,15.0
77048,35.0,5.0,0.0,12.0,12.0,52.0,153.0,308.0,368.0,683.0,308.0,431.0,220.0,306.0,287.0,176.0,0.0,18.0,0.0,38.0,0.0,17.0,0.0,0.0,0.0,13.0
77049,170.0,20.0,0.0,30.0,24.0,120.0,18.0,82.0,271.0,345.0,740.0,544.0,343.0,1045.0,968.0,701.0,278.0,413.0,184.0,51.0,0.0,45.0,0.0,14.0,0.0,0.0
77050,45.0,34.0,0.0,0.0,46.0,52.0,14.0,68.0,109.0,128.0,97.0,159.0,17.0,121.0,19.0,0.0,13.0,38.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77051,18.0,38.0,61.0,55.0,33.0,115.0,98.0,283.0,296.0,232.0,252.0,187.0,58.0,246.0,168.0,118.0,13.0,62.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
77054,11.0,19.0,14.0,22.0,0.0,9.0,47.0,53.0,103.0,0.0,45.0,162.0,39.0,374.0,177.0,111.0,118.0,221.0,188.0,79.0,0.0,14.0,0.0,0.0,0.0,0.0
77055,94.0,20.0,9.0,9.0,0.0,34.0,26.0,62.0,126.0,58.0,47.0,127.0,280.0,498.0,384.0,319.0,178.0,396.0,438.0,775.0,675.0,998.0,422.0,255.0,43.0,23.0
77056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,12.0,0.0,109.0,37.0,116.0,76.0,115.0,51.0,201.0,291.0,291.0,388.0,812.0,678.0,421.0,251.0,410.0
77057,34.0,0.0,0.0,0.0,0.0,21.0,0.0,85.0,8.0,108.0,74.0,255.0,130.0,504.0,471.0,765.0,321.0,641.0,341.0,463.0,493.0,1035.0,317.0,226.0,185.0,147.0
77058,21.0,0.0,0.0,0.0,14.0,0.0,28.0,66.0,106.0,59.0,31.0,68.0,98.0,224.0,276.0,435.0,322.0,490.0,174.0,108.0,0.0,31.0,0.0,0.0,9.0,0.0
77059,55.0,20.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,8.0,0.0,13.0,23.0,103.0,400.0,558.0,499.0,924.0,847.0,1160.0,438.0,281.0,101.0,14.0,7.0,10.0
77060,112.0,25.0,97.0,19.0,21.0,26.0,0.0,54.0,158.0,114.0,508.0,540.0,432.0,613.0,222.0,112.0,22.0,0.0,10.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0
77061,33.0,37.0,0.0,0.0,33.0,40.0,13.0,127.0,35.0,113.0,142.0,336.0,216.0,923.0,361.0,263.0,37.0,103.0,32.0,77.0,16.0,6.0,0.0,0.0,0.0,7.0
77062,49.0,37.0,0.0,0.0,0.0,5.0,0.0,14.0,28.0,35.0,65.0,92.0,101.0,887.0,1234.0,2007.0,1049.0,747.0,495.0,444.0,140.0,85.0,44.0,0.0,0.0,0.0
77063,25.0,0.0,14.0,0.0,0.0,46.0,7.0,51.0,165.0,301.0,313.0,210.0,146.0,403.0,92.0,499.0,244.0,452.0,342.0,537.0,297.0,250.0,138.0,56.0,53.0,47.0
77064,78.0,53.0,0.0,53.0,0.0,16.0,92.0,18.0,213.0,134.0,415.0,544.0,1117.0,1771.0,1413.0,1519.0,702.0,948.0,382.0,151.0,55.0,13.0,0.0,0.0,16.0,7.0
77065,69.0,6.0,23.0,0.0,15.0,52.0,45.0,0.0,0.0,6.0,70.0,248.0,395.0,1844.0,1122.0,1087.0,758.0,497.0,370.0,204.0,103.0,58.0,11.0,22.0,16.0,0.0
77066,64.0,54.0,44.0,65.0,14.0,0.0,0.0,31.0,134.0,239.0,472.0,693.0,533.0,1495.0,1097.0,996.0,261.0,227.0,137.0,60.0,13.0,0.0,20.0,10.0,0.0,0.0
77067,21.0,23.0,32.0,19.0,34.0,33.0,19.0,47.0,118.0,291.0,441.0,636.0,725.0,1069.0,289.0,128.0,24.0,31.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
77068,0.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,83.0,324.0,425.0,467.0,380.0,246.0,58.0,163.0,73.0,112.0,48.0,0.0,20.0,7.0
77069,25.0,0.0,17.0,16.0,13.0,0.0,0.0,75.0,66.0,159.0,123.0,228.0,87.0,272.0,269.0,474.0,472.0,785.0,341.0,502.0,435.0,267.0,39.0,0.0,0.0,32.0
77070,243.0,31.0,37.0,10.0,0.0,14.0,53.0,14.0,0.0,77.0,139.0,327.0,414.0,1372.0,1614.0,2207.0,1168.0,1133.0,291.0,422.0,78.0,17.0,0.0,84.0,22.0,0.0
77071,39.0,17.0,0.0,0.0,0.0,44.0,21.0,82.0,41.0,186.0,181.0,401.0,764.0,1126.0,796.0,746.0,328.0,388.0,161.0,276.0,8.0,53.0,0.0,0.0,0.0,0.0
77072,41.0,6.0,35.0,77.0,60.0,141.0,102.0,343.0,476.0,566.0,779.0,861.0,1269.0,2149.0,685.0,332.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
77073,58.0,57.0,68.0,0.0,67.0,49.0,41.0,121.0,30.0,162.0,596.0,815.0,810.0,2151.0,1009.0,437.0,287.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
77074,11.0,18.0,9.0,76.0,33.0,90.0,46.0,88.0,155.0,166.0,296.0,553.0,512.0,1146.0,446.0,305.0,247.0,195.0,96.0,30.0,0.0,6.0,0.0,0.0,0.0,15.0
77075,76.0,71.0,88.0,108.0,8.0,0.0,0.0,91.0,65.0,396.0,344.0,609.0,373.0,1951.0,1691.0,711.0,231.0,77.0,14.0,71.0,50.0,13.0,0.0,14.0,0.0,0.0
77076,146.0,63.0,58.0,53.0,112.0,29.0,18.0,150.0,328.0,327.0,653.0,926.0,650.0,689.0,162.0,193.0,18.0,41.0,11.0,13.0,0.0,6.0,14.0,0.0,0.0,0.0
77077,59.0,0.0,38.0,0.0,37.0,52.0,0.0,53.0,30.0,17.0,115.0,144.0,126.0,391.0,756.0,1162.0,1047.0,1342.0,1181.0,1146.0,513.0,596.0,185.0,69.0,26.0,30.0
77078,15.0,0.0,26.0,50.0,32.0,158.0,87.0,161.0,364.0,410.0,416.0,380.0,92.0,207.0,59.0,136.0,0.0,18.0,19.0,35.0,0.0,0.0,0.0,0.0,0.0,8.0
77079,60.0,9.0,0.0,6.0,5.0,49.0,9.0,46.0,42.0,31.0,75.0,153.0,180.0,483.0,447.0,417.0,134.0,353.0,447.0,1506.0,1036.0,1699.0,506.0,173.0,62.0,15.0
77080,87.0,26.0,18.0,16.0,6.0,0.0,23.0,53.0,87.0,142.0,169.0,276.0,326.0,981.0,826.0,830.0,505.0,735.0,261.0,211.0,57.0,65.0,16.0,0.0,22.0,17.0
77081,17.0,11.0,0.0,21.0,14.0,16.0,7.0,41.0,9.0,40.0,0.0,0.0,28.0,136.0,119.0,42.0,33.0,56.0,92.0,119.0,88.0,26.0,76.0,0.0,0.0,0.0
77082,65.0,0.0,7.0,0.0,0.0,7.0,0.0,4.0,66.0,181.0,181.0,646.0,790.0,1726.0,748.0,827.0,395.0,715.0,463.0,225.0,91.0,283.0,106.0,56.0,23.0,51.0
77083,169.0,91.0,53.0,0.0,37.0,42.0,0.0,138.0,83.0,467.0,571.0,1471.0,1733.0,3460.0,2947.0,1841.0,880.0,435.0,150.0,135.0,9.0,8.0,6.0,9.0,0.0,0.0
77084,182.0,31.0,20.0,10.0,0.0,0.0,20.0,37.0,93.0,189.0,628.0,1480.0,1955.0,4855.0,3983.0,3385.0,1193.0,1351.0,359.0,378.0,16.0,0.0,0.0,15.0,0.0,0.0
77085,61.0,33.0,39.0,0.0,25.0,9.0,12.0,29.0,116.0,123.0,212.0,335.0,532.0,1067.0,465.0,146.0,9.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77086,82.0,23.0,89.0,13.0,10.0,0.0,6.0,6.0,202.0,249.0,508.0,812.0,1035.0,1093.0,287.0,122.0,60.0,11.0,33.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0
77087,150.0,25.0,68.0,36.0,31.0,124.0,72.0,188.0,299.0,628.0,756.0,915.0,723.0,905.0,363.0,233.0,111.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77088,131.0,28.0,79.0,70.0,73.0,206.0,64.0,306.0,328.0,806.0,949.0,1546.0,1593.0,2301.0,824.0,500.0,168.0,238.0,115.0,49.0,8.0,0.0,0.0,0.0,0.0,7.0
77089,110.0,13.0,39.0,30.0,44.0,38.0,13.0,27.0,18.0,472.0,341.0,713.0,1366.0,2385.0,1950.0,1464.0,684.0,447.0,578.0,161.0,0.0,18.0,0.0,26.0,0.0,0.0
77090,54.0,0.0,0.0,0.0,0.0,14.0,25.0,56.0,35.0,51.0,116.0,235.0,166.0,399.0,658.0,893.0,254.0,172.0,40.0,19.0,35.0,12.0,17.0,0.0,0.0,0.0
77091,122.0,41.0,29.0,30.0,9.0,176.0,61.0,165.0,128.0,308.0,325.0,247.0,191.0,576.0,200.0,286.0,239.0,260.0,126.0,73.0,0.0,29.0,0.0,9.0,0.0,6.0
77092,78.0,30.0,42.0,20.0,0.0,30.0,8.0,91.0,348.0,152.0,239.0,317.0,276.0,693.0,764.0,843.0,328.0,499.0,154.0,69.0,39.0,0.0,33.0,20.0,0.0,7.0
77093,179.0,44.0,106.0,19.0,68.0,155.0,185.0,585.0,822.0,654.0,914.0,883.0,593.0,840.0,253.0,155.0,27.0,129.0,59.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0
77094,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,50.0,38.0,0.0,0.0,7.0,146.0,322.0,515.0,531.0,345.0,425.0,146.0,10.0,18.0,16.0
77095,143.0,55.0,9.0,72.0,0.0,0.0,0.0,25.0,0.0,71.0,80.0,206.0,297.0,1392.0,3255.0,3852.0,2614.0,3216.0,1313.0,699.0,229.0,34.0,0.0,0.0,0.0,0.0
77096,60.0,10.0,15.0,0.0,22.0,21.0,0.0,59.0,58.0,74.0,42.0,103.0,72.0,232.0,264.0,413.0,461.0,1105.0,1319.0,1661.0,535.0,545.0,136.0,69.0,13.0,0.0
77098,28.0,0.0,15.0,0.0,0.0,14.0,0.0,0.0,27.0,14.0,0.0,58.0,0.0,13.0,51.0,156.0,41.0,65.0,135.0,292.0,544.0,339.0,201.0,143.0,131.0,18.0
77099,50.0,0.0,37.0,49.0,33.0,48.0,0.0,162.0,91.0,332.0,535.0,1012.0,1286.0,1957.0,544.0,256.0,90.0,31.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,45.0,54.0,35.0,19.0,15.0,0.0,0.0,78.0,81.0,188.0,237.0,160.0,66.0,365.0,190.0,414.0,83.0,148.0,332.0,535.0,234.0,71.0,14.0,14.0,0.0,0.0
77338,41.0,130.0,24.0,21.0,14.0,0.0,117.0,98.0,211.0,298.0,520.0,461.0,1149.0,1620.0,997.0,885.0,151.0,85.0,55.0,83.0,32.0,20.0,0.0,0.0,0.0,0.0
77339,133.0,54.0,13.0,6.0,0.0,0.0,0.0,33.0,58.0,35.0,67.0,131.0,500.0,1400.0,2148.0,2211.0,751.0,796.0,681.0,402.0,160.0,198.0,55.0,75.0,0.0,0.0
77345,58.0,0.0,24.0,0.0,41.0,0.0,25.0,14.0,44.0,17.0,52.0,0.0,32.0,144.0,582.0,820.0,751.0,1726.0,1337.0,1387.0,536.0,463.0,62.0,15.0,5.0,13.0
77346,247.0,27.0,15.0,5.0,0.0,0.0,0.0,0.0,23.0,54.0,194.0,250.0,421.0,1792.0,3090.0,3022.0,1849.0,1937.0,1260.0,628.0,239.0,117.0,149.0,48.0,24.0,39.0
77373,51.0,0.0,52.0,0.0,16.0,34.0,0.0,219.0,284.0,378.0,897.0,1771.0,1470.0,2802.0,2028.0,1805.0,675.0,585.0,354.0,244.0,30.0,43.0,0.0,0.0,0.0,34.0
77375,124.0,118.0,104.0,19.0,0.0,155.0,115.0,9.0,66.0,77.0,309.0,324.0,350.0,1179.0,1638.0,1686.0,740.0,754.0,425.0,439.0,196.0,306.0,98.0,38.0,13.0,51.0
77377,122.0,86.0,18.0,0.0,8.0,6.0,70.0,69.0,6.0,77.0,92.0,164.0,131.0,366.0,655.0,732.0,933.0,1592.0,1393.0,1338.0,253.0,224.0,33.0,8.0,0.0,18.0
77379,94.0,65.0,32.0,40.0,0.0,0.0,37.0,21.0,36.0,0.0,47.0,163.0,207.0,1992.0,2056.0,2487.0,2440.0,3397.0,2373.0,2319.0,995.0,619.0,245.0,31.0,34.0,15.0
77388,197.0,51.0,0.0,35.0,11.0,19.0,0.0,42.0,0.0,34.0,184.0,557.0,492.0,2114.0,2208.0,2304.0,1281.0,1639.0,925.0,404.0,158.0,163.0,83.0,10.0,0.0,0.0
77389,76.0,12.0,132.0,31.0,82.0,61.0,35.0,92.0,56.0,71.0,78.0,134.0,315.0,495.0,803.0,844.0,360.0,745.0,745.0,1387.0,723.0,672.0,228.0,24.0,25.0,84.0
77396,150.0,116.0,61.0,49.0,123.0,59.0,103.0,81.0,353.0,495.0,708.0,580.0,590.0,1517.0,753.0,839.0,486.0,565.0,390.0,554.0,133.0,220.0,43.0,9.0,0.0,37.0
77401,33.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,10.0,10.0,5.0,12.0,14.0,14.0,57.0,44.0,272.0,369.0,479.0,334.0,1297.0,1528.0,779.0,107.0,132.0
77429,106.0,78.0,98.0,23.0,0.0,28.0,22.0,92.0,72.0,58.0,48.0,188.0,351.0,1524.0,2991.0,3663.0,1711.0,3043.0,2321.0,2440.0,1036.0,1074.0,244.0,101.0,0.0,89.0
77433,88.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,27.0,63.0,380.0,431.0,517.0,1006.0,2018.0,2055.0,1929.0,2150.0,1652.0,2332.0,940.0,560.0,93.0,23.0,12.0,0.0
77447,14.0,41.0,69.0,55.0,0.0,48.0,9.0,64.0,110.0,243.0,213.0,119.0,129.0,565.0,247.0,294.0,145.0,258.0,169.0,280.0,135.0,77.0,49.0,37.0,0.0,14.0
77449,203.0,107.0,228.0,94.0,66.0,0.0,61.0,43.0,163.0,273.0,1078.0,1165.0,2436.0,5804.0,5012.0,3630.0,926.0,746.0,123.0,98.0,38.0,48.0,0.0,0.0,13.0,0.0
77450,182.0,44.0,10.0,54.0,34.0,0.0,14.0,0.0,18.0,75.0,45.0,334.0,331.0,1511.0,1593.0,2057.0,1544.0,3311.0,1672.0,2609.0,1345.0,662.0,70.0,31.0,19.0,63.0
77493,105.0,109.0,51.0,45.0,16.0,10.0,0.0,60.0,26.0,55.0,132.0,158.0,203.0,911.0,979.0,1243.0,495.0,870.0,373.0,173.0,222.0,132.0,3.0,18.0,12.0,26.0
77502,182.0,167.0,106.0,28.0,42.0,0.0,115.0,95.0,251.0,461.0,909.0,897.0,1058.0,1385.0,470.0,425.0,51.0,54.0,55.0,23.0,9.0,0.0,16.0,0.0,0.0,4.0
77503,255.0,69.0,33.0,44.0,9.0,0.0,0.0,152.0,121.0,195.0,452.0,726.0,757.0,861.0,257.0,191.0,55.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77504,110.0,62.0,65.0,42.0,28.0,68.0,114.0,111.0,81.0,64.0,55.0,87.0,222.0,610.0,574.0,530.0,240.0,271.0,14.0,69.0,0.0,44.0,0.0,7.0,0.0,0.0
77505,92.0,53.0,11.0,21.0,10.0,0.0,0.0,0.0,0.0,10.0,94.0,58.0,358.0,896.0,854.0,1158.0,756.0,1178.0,153.0,173.0,17.0,52.0,6.0,0.0,0.0,0.0
77506,70.0,22.0,14.0,46.0,50.0,103.0,95.0,569.0,557.0,718.0,752.0,724.0,196.0,213.0,87.0,93.0,38.0,30.0,0.0,0.0,0.0,5.0,12.0,7.0,0.0,0.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,171.0,66.0,66.0,128.0,200.0,117.0,232.0,851.0,565.0,833.0,655.0,692.0,589.0,876.0,398.0,398.0,159.0,292.0,99.0,90.0,0.0,18.0,12.0,21.0,0.0,39.0
