Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77096,35614.0,5406.0,2294.0,27914.0,27652.0,3253.0,1708.0,22691.0,5511.0,1412.0,471.0,3628.0,648.0,65.0,56.0,527.0,1109.0,404.0,31.0,674.0,694.0,272.0,28.0,394.0
77098,12196.0,1073.0,418.0,10705.0,8277.0,490.0,289.0,7498.0,2093.0,451.0,54.0,1588.0,880.0,50.0,59.0,771.0,725.0,65.0,16.0,644.0,221.0,17.0,0.0,204.0
77099,46536.0,11217.0,7671.0,27648.0,37121.0,8173.0,6383.0,22565.0,6380.0,2026.0,970.0,3384.0,1198.0,316.0,209.0,673.0,880.0,239.0,60.0,581.0,957.0,463.0,49.0,445.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,11969.0,763.0,501.0,10705.0,10607.0,653.0,333.0,9621.0,1116.0,110.0,70.0,936.0,170.0,0.0,98.0,72.0,76.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0
77338,37148.0,5541.0,5748.0,25859.0,30544.0,4099.0,4477.0,21968.0,4871.0,885.0,1021.0,2965.0,844.0,189.0,50.0,605.0,534.0,183.0,115.0,236.0,355.0,185.0,85.0,85.0
77339,39216.0,3788.0,2130.0,33298.0,32876.0,3072.0,1537.0,28267.0,2238.0,336.0,139.0,1763.0,2629.0,237.0,354.0,2038.0,1147.0,143.0,0.0,1004.0,326.0,0.0,100.0,226.0
77345,29138.0,938.0,706.0,27494.0,25626.0,790.0,596.0,24240.0,2242.0,104.0,68.0,2070.0,807.0,40.0,34.0,733.0,388.0,4.0,8.0,376.0,75.0,0.0,0.0,75.0
77346,58998.0,3626.0,2150.0,53222.0,50766.0,2150.0,1951.0,46665.0,4258.0,939.0,199.0,3120.0,1332.0,311.0,0.0,1021.0,2064.0,173.0,0.0,1891.0,578.0,53.0,0.0,525.0
77373,55710.0,6241.0,3872.0,45597.0,47536.0,5082.0,2998.0,39456.0,5900.0,742.0,691.0,4467.0,1681.0,269.0,170.0,1242.0,524.0,131.0,0.0,393.0,69.0,17.0,13.0,39.0
77375,43296.0,5056.0,3426.0,34814.0,36137.0,3124.0,2134.0,30879.0,5116.0,1724.0,1076.0,2316.0,1177.0,149.0,142.0,886.0,755.0,40.0,15.0,700.0,111.0,19.0,59.0,33.0
77377,32823.0,3124.0,2534.0,27165.0,29211.0,2738.0,2504.0,23969.0,1922.0,241.0,18.0,1663.0,966.0,10.0,0.0,956.0,367.0,19.0,0.0,348.0,357.0,116.0,12.0,229.0
77379,74742.0,4204.0,2316.0,68222.0,65301.0,3139.0,1822.0,60340.0,6047.0,897.0,276.0,4874.0,1677.0,78.0,0.0,1599.0,1475.0,90.0,116.0,1269.0,242.0,0.0,102.0,140.0
77388,42530.0,2132.0,1436.0,38962.0,38776.0,1951.0,1353.0,35472.0,2124.0,72.0,83.0,1969.0,771.0,45.0,0.0,726.0,560.0,0.0,0.0,560.0,299.0,64.0,0.0,235.0
77389,28087.0,1333.0,978.0,25776.0,24159.0,1029.0,912.0,22218.0,1591.0,164.0,66.0,1361.0,923.0,72.0,0.0,851.0,680.0,13.0,0.0,667.0,734.0,55.0,0.0,679.0
77396,45176.0,6470.0,4451.0,34255.0,37939.0,4768.0,3579.0,29592.0,5002.0,817.0,740.0,3445.0,865.0,306.0,74.0,485.0,621.0,11.0,58.0,552.0,749.0,568.0,0.0,181.0
77401,18123.0,344.0,283.0,17496.0,15988.0,297.0,253.0,15438.0,1586.0,21.0,30.0,1535.0,128.0,0.0,0.0,128.0,317.0,8.0,0.0,309.0,104.0,18.0,0.0,86.0
77429,78185.0,3523.0,3215.0,71447.0,69669.0,2635.0,3031.0,64003.0,5877.0,853.0,152.0,4872.0,490.0,5.0,0.0,485.0,1791.0,11.0,32.0,1748.0,358.0,19.0,0.0,339.0
77433,63455.0,3463.0,4767.0,55225.0,54302.0,2776.0,4290.0,47236.0,6368.0,401.0,310.0,5657.0,1173.0,172.0,0.0,1001.0,985.0,69.0,23.0,893.0,627.0,45.0,144.0,438.0
77447,13257.0,2200.0,899.0,10158.0,12512.0,2096.0,899.0,9517.0,333.0,98.0,0.0,235.0,303.0,4.0,0.0,299.0,76.0,2.0,0.0,74.0,33.0,0.0,0.0,33.0
77449,104590.0,12639.0,11543.0,80408.0,89281.0,9974.0,10303.0,69004.0,9182.0,1209.0,660.0,7313.0,1907.0,81.0,164.0,1662.0,3741.0,1350.0,400.0,1991.0,479.0,25.0,16.0,438.0
77450,73462.0,3866.0,3313.0,66283.0,61561.0,2584.0,2809.0,56168.0,4848.0,227.0,303.0,4318.0,3891.0,661.0,109.0,3121.0,1674.0,316.0,7.0,1351.0,1488.0,78.0,85.0,1325.0
77484,11226.0,1349.0,1404.0,8473.0,10496.0,1217.0,1381.0,7898.0,247.0,88.0,0.0,159.0,299.0,0.0,0.0,299.0,158.0,26.0,23.0,109.0,26.0,18.0,0.0,8.0
77493,25426.0,2428.0,1144.0,21854.0,22503.0,1788.0,1103.0,19612.0,1782.0,316.0,23.0,1443.0,693.0,96.0,0.0,597.0,174.0,0.0,18.0,156.0,274.0,228.0,0.0,46.0
77502,37510.0,7382.0,5054.0,25074.0,30879.0,5509.0,4306.0,21064.0,5581.0,1654.0,670.0,3257.0,778.0,165.0,0.0,613.0,221.0,54.0,53.0,114.0,51.0,0.0,25.0,26.0
77503,24499.0,4832.0,3363.0,16304.0,18994.0,2829.0,2512.0,13653.0,4565.0,1762.0,526.0,2277.0,339.0,91.0,31.0,217.0,480.0,130.0,246.0,104.0,121.0,20.0,48.0,53.0
77504,23291.0,5189.0,3273.0,14829.0,16822.0,3175.0,2276.0,11371.0,5459.0,1870.0,769.0,2820.0,549.0,57.0,191.0,301.0,286.0,76.0,37.0,173.0,175.0,11.0,0.0,164.0
77505,23107.0,1276.0,1520.0,20311.0,19957.0,917.0,1244.0,17796.0,2419.0,290.0,260.0,1869.0,457.0,52.0,0.0,405.0,208.0,17.0,0.0,191.0,66.0,0.0,16.0,50.0
77506,35793.0,11051.0,7049.0,17693.0,27306.0,7136.0,5634.0,14536.0,6834.0,3135.0,1352.0,2347.0,859.0,409.0,0.0,450.0,557.0,313.0,63.0,181.0,237.0,58.0,0.0,179.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,37641.0,7880.0,4814.0,24947.0,30177.0,5753.0,3676.0,20748.0,5423.0,1753.0,746.0,2924.0,1348.0,222.0,269.0,857.0,634.0,123.0,117.0,394.0,59.0,29.0,6.0,24.0
77521,53116.0,9087.0,4782.0,39247.0,42117.0,5325.0,3009.0,33783.0,7395.0,2345.0,1478.0,3572.0,1664.0,402.0,197.0,1065.0,1409.0,634.0,98.0,677.0,531.0,381.0,0.0,150.0
77530,29600.0,6415.0,3047.0,20138.0,25448.0,4835.0,2811.0,17802.0,3063.0,1025.0,130.0,1908.0,446.0,67.0,106.0,273.0,428.0,282.0,0.0,146.0,215.0,206.0,0.0,9.0
77532,27984.0,3665.0,1986.0,22333.0,24111.0,2932.0,1773.0,19406.0,2468.0,368.0,207.0,1893.0,1144.0,318.0,6.0,820.0,165.0,47.0,0.0,118.0,96.0,0.0,0.0,96.0
77536,31770.0,2650.0,2075.0,27045.0,26943.0,1914.0,1484.0,23545.0,3592.0,469.0,345.0,2778.0,530.0,95.0,24.0,411.0,316.0,52.0,0.0,264.0,389.0,120.0,222.0,47.0
77547,9838.0,2247.0,1650.0,5941.0,8010.0,1690.0,1604.0,4716.0,1535.0,477.0,21.0,1037.0,74.0,0.0,25.0,49.0,152.0,13.0,0.0,139.0,67.0,67.0,0.0,0.0
77562,10553.0,1475.0,1112.0,7966.0,8997.0,826.0,858.0,7313.0,894.0,328.0,54.0,512.0,262.0,35.0,200.0,27.0,400.0,286.0,0.0,114.0,0.0,0.0,0.0,0.0
77571,36103.0,3751.0,2370.0,29982.0,31044.0,2953.0,1952.0,26139.0,3722.0,700.0,336.0,2686.0,828.0,94.0,54.0,680.0,468.0,4.0,28.0,436.0,41.0,0.0,0.0,41.0
77586,22004.0,1537.0,1270.0,19197.0,18334.0,1206.0,855.0,16273.0,1823.0,189.0,299.0,1335.0,990.0,125.0,92.0,773.0,727.0,0.0,0.0,727.0,130.0,17.0,24.0,89.0
77587,16564.0,4116.0,3078.0,9370.0,13835.0,2910.0,2435.0,8490.0,2246.0,949.0,585.0,712.0,249.0,190.0,26.0,33.0,165.0,30.0,0.0,135.0,69.0,37.0,32.0,0.0
77598,23205.0,2924.0,2347.0,17934.0,14700.0,1236.0,1424.0,12040.0,5346.0,1235.0,670.0,3441.0,1682.0,213.0,110.0,1359.0,1250.0,201.0,135.0,914.0,227.0,39.0,8.0,180.0
