Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77075,18855.0,346.0,701.0,1494.0,2428.0,2428.0,2845.0,1107.0,4303.0,977.0,645.0,2363.0,1280.0,366.0
77076,13151.0,213.0,539.0,841.0,999.0,999.0,1918.0,685.0,4879.0,316.0,631.0,1183.0,784.0,163.0
77077,29630.0,373.0,2124.0,2956.0,3989.0,3989.0,5021.0,1787.0,5263.0,1315.0,1331.0,3179.0,1578.0,714.0
77078,5333.0,69.0,318.0,316.0,512.0,512.0,926.0,394.0,1503.0,93.0,158.0,546.0,256.0,242.0
77079,14019.0,266.0,1072.0,2118.0,2363.0,2363.0,2149.0,1082.0,2235.0,403.0,754.0,1030.0,463.0,84.0
77080,22305.0,295.0,1337.0,3905.0,3785.0,3785.0,3207.0,1163.0,4324.0,739.0,769.0,1367.0,970.0,444.0
77081,21794.0,393.0,1279.0,2800.0,2929.0,2929.0,3230.0,671.0,6297.0,262.0,561.0,1213.0,1866.0,293.0
77082,27698.0,422.0,1202.0,2198.0,4495.0,4495.0,4294.0,1936.0,4880.0,1344.0,1446.0,2564.0,2076.0,841.0
77083,33388.0,269.0,945.0,1800.0,3643.0,3643.0,4881.0,1776.0,8283.0,1174.0,1808.0,4956.0,3124.0,729.0
77084,49742.0,468.0,2530.0,3649.0,5413.0,5413.0,6491.0,2421.0,11684.0,1171.0,3039.0,6261.0,5488.0,1127.0
77085,7688.0,119.0,94.0,485.0,1030.0,1030.0,1498.0,610.0,1730.0,101.0,537.0,573.0,816.0,95.0
77086,11844.0,68.0,851.0,1044.0,1159.0,1159.0,1969.0,569.0,2704.0,479.0,635.0,1240.0,770.0,356.0
77087,14684.0,341.0,924.0,1534.0,2305.0,2305.0,2661.0,710.0,2591.0,262.0,396.0,1660.0,1046.0,254.0
77088,21073.0,89.0,695.0,1662.0,2480.0,2480.0,3890.0,1416.0,5035.0,597.0,1221.0,2209.0,1330.0,449.0
77089,26729.0,216.0,1341.0,2517.0,4451.0,4451.0,2755.0,1766.0,4969.0,1323.0,1215.0,3147.0,2388.0,641.0
77090,17653.0,59.0,896.0,2514.0,2297.0,2297.0,2824.0,866.0,3543.0,598.0,439.0,1886.0,1405.0,326.0
77091,9232.0,147.0,413.0,610.0,1185.0,1185.0,1514.0,430.0,2497.0,433.0,325.0,994.0,521.0,163.0
77092,16732.0,256.0,1005.0,2008.0,2991.0,2991.0,2473.0,845.0,3255.0,600.0,859.0,1338.0,944.0,158.0
77093,15708.0,335.0,619.0,1260.0,1994.0,1994.0,2491.0,1114.0,4268.0,404.0,446.0,1236.0,1183.0,358.0
77094,4091.0,89.0,169.0,271.0,705.0,705.0,550.0,217.0,767.0,156.0,150.0,750.0,247.0,20.0
77095,35011.0,611.0,1756.0,3119.0,3396.0,3396.0,3880.0,1873.0,5735.0,1900.0,1950.0,5190.0,4477.0,1124.0
77096,16811.0,303.0,654.0,1464.0,2821.0,2821.0,3609.0,1464.0,3297.0,396.0,653.0,1296.0,708.0,146.0
77098,8011.0,148.0,736.0,1538.0,1932.0,1932.0,1408.0,615.0,936.0,196.0,93.0,138.0,136.0,135.0
77099,20876.0,125.0,891.0,2168.0,2966.0,2966.0,3139.0,1899.0,3831.0,739.0,1229.0,1746.0,1609.0,534.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,5485.0,308.0,240.0,275.0,155.0,155.0,708.0,127.0,892.0,103.0,326.0,1032.0,1112.0,207.0
77338,16731.0,249.0,1537.0,2109.0,1909.0,1909.0,2589.0,684.0,2726.0,541.0,593.0,2299.0,1194.0,301.0
77339,19466.0,248.0,1652.0,2507.0,2421.0,2421.0,1821.0,371.0,2389.0,944.0,1293.0,3660.0,1689.0,471.0
77345,12506.0,294.0,620.0,1210.0,1741.0,1741.0,1308.0,498.0,1573.0,228.0,698.0,2075.0,1840.0,421.0
77346,28192.0,444.0,1713.0,2212.0,3438.0,3438.0,3343.0,1586.0,4504.0,1009.0,1618.0,4808.0,2954.0,563.0
77373,26705.0,693.0,714.0,1845.0,3595.0,3595.0,3639.0,2075.0,5143.0,1248.0,1050.0,3534.0,2507.0,662.0
77375,18453.0,470.0,1220.0,1636.0,1879.0,1879.0,2288.0,1253.0,2714.0,611.0,1010.0,2953.0,1899.0,520.0
77377,14483.0,487.0,437.0,1769.0,1644.0,1644.0,1800.0,683.0,1985.0,389.0,707.0,2166.0,1909.0,507.0
77379,35787.0,657.0,2209.0,3064.0,4257.0,4257.0,4173.0,2421.0,5231.0,1229.0,1985.0,5012.0,4466.0,1083.0
77388,20842.0,200.0,1028.0,1461.0,2429.0,2429.0,3272.0,1197.0,3665.0,557.0,789.0,2892.0,2857.0,495.0
77389,12105.0,204.0,459.0,796.0,1513.0,1513.0,1593.0,550.0,1858.0,478.0,691.0,1858.0,1543.0,562.0
77396,23017.0,88.0,816.0,1993.0,3465.0,3465.0,3265.0,1880.0,4128.0,1006.0,1235.0,2579.0,2135.0,427.0
77401,8339.0,154.0,654.0,1014.0,1741.0,1741.0,2223.0,515.0,1346.0,147.0,93.0,270.0,88.0,94.0
77429,36579.0,582.0,2015.0,3677.0,3590.0,3590.0,4012.0,1974.0,5335.0,1876.0,1945.0,5721.0,4861.0,991.0
77433,27965.0,437.0,913.0,1772.0,2552.0,2552.0,3148.0,1270.0,4219.0,1451.0,1966.0,5133.0,3733.0,1371.0
77447,5158.0,116.0,149.0,309.0,150.0,150.0,457.0,105.0,777.0,128.0,205.0,1151.0,1216.0,395.0
77449,48536.0,245.0,2169.0,3302.0,5539.0,5539.0,4905.0,2706.0,9435.0,1779.0,3546.0,7646.0,5977.0,1287.0
77450,34090.0,411.0,2278.0,3332.0,3271.0,3271.0,3586.0,1634.0,6089.0,1427.0,2272.0,5499.0,3802.0,489.0
77484,4853.0,130.0,353.0,400.0,492.0,492.0,569.0,149.0,479.0,239.0,282.0,778.0,811.0,171.0
77493,12618.0,161.0,906.0,1506.0,1318.0,1318.0,1611.0,652.0,1680.0,328.0,603.0,1633.0,1620.0,600.0
77502,14623.0,298.0,1236.0,2210.0,2059.0,2059.0,2249.0,990.0,2860.0,284.0,498.0,983.0,847.0,109.0
77503,9983.0,111.0,659.0,1436.0,1557.0,1557.0,1731.0,822.0,1625.0,420.0,232.0,713.0,400.0,277.0
77504,10090.0,189.0,963.0,935.0,1542.0,1542.0,1752.0,846.0,1749.0,181.0,264.0,925.0,635.0,109.0
77505,11925.0,153.0,950.0,1725.0,1912.0,1912.0,1823.0,800.0,1528.0,417.0,429.0,1153.0,889.0,146.0
77506,13389.0,310.0,1156.0,1498.0,2174.0,2174.0,1993.0,912.0,2477.0,183.0,501.0,946.0,852.0,387.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,14357.0,453.0,1887.0,2262.0,3321.0,3321.0,1810.0,583.0,1559.0,323.0,331.0,849.0,419.0,560.0
77521,21878.0,510.0,2496.0,3394.0,4183.0,4183.0,3830.0,1241.0,2397.0,434.0,741.0,1222.0,1018.0,412.0
77530,12412.0,334.0,1001.0,1805.0,1783.0,1783.0,1882.0,982.0,1993.0,280.0,513.0,1011.0,552.0,276.0
77532,11862.0,321.0,922.0,647.0,790.0,790.0,1314.0,746.0,2066.0,859.0,884.0,2068.0,1092.0,153.0
77536,14975.0,439.0,1867.0,2159.0,2659.0,2659.0,1979.0,1042.0,2033.0,578.0,474.0,1038.0,622.0,85.0
77547,4089.0,92.0,283.0,389.0,946.0,946.0,508.0,241.0,807.0,130.0,125.0,291.0,96.0,181.0
77562,4168.0,271.0,243.0,336.0,798.0,798.0,812.0,201.0,595.0,175.0,132.0,325.0,215.0,65.0
77571,17713.0,539.0,1749.0,2007.0,2786.0,2786.0,2738.0,1011.0,2624.0,545.0,676.0,1469.0,1257.0,312.0
77586,10913.0,228.0,883.0,1471.0,1604.0,1604.0,1564.0,962.0,1122.0,417.0,483.0,1097.0,788.0,294.0
77587,6550.0,62.0,585.0,945.0,1119.0,1119.0,757.0,275.0,1230.0,143.0,268.0,522.0,448.0,196.0
77598,13333.0,397.0,1674.0,2372.0,1745.0,1745.0,1564.0,628.0,1779.0,415.0,522.0,1047.0,992.0,198.0
