Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77083,19976.0,16630.0,11477.0,5153.0,1364.0,3789.0,3346.0,2862.0,484.0
77084,31310.0,23708.0,17553.0,6155.0,1969.0,4186.0,7602.0,6039.0,1563.0
77085,4629.0,3527.0,2150.0,1377.0,551.0,826.0,1102.0,1009.0,93.0
77086,7698.0,6179.0,3612.0,2567.0,575.0,1992.0,1519.0,1224.0,295.0
77087,10750.0,8185.0,5487.0,2698.0,845.0,1853.0,2565.0,1986.0,579.0
77088,16019.0,12107.0,6804.0,5303.0,1303.0,4000.0,3912.0,3501.0,411.0
77089,16075.0,12253.0,8847.0,3406.0,1001.0,2405.0,3822.0,2966.0,856.0
77090,13032.0,8129.0,3998.0,4131.0,637.0,3494.0,4903.0,4184.0,719.0
77091,8328.0,5364.0,2752.0,2612.0,470.0,2142.0,2964.0,2575.0,389.0
77092,12624.0,7851.0,4835.0,3016.0,683.0,2333.0,4773.0,3965.0,808.0
77093,11406.0,9079.0,5797.0,3282.0,914.0,2368.0,2327.0,2018.0,309.0
77094,2890.0,2429.0,2235.0,194.0,41.0,153.0,461.0,455.0,6.0
77095,22766.0,16913.0,13698.0,3215.0,768.0,2447.0,5853.0,4988.0,865.0
77096,13688.0,8657.0,6575.0,2082.0,457.0,1625.0,5031.0,4231.0,800.0
77098,7426.0,2285.0,1872.0,413.0,174.0,239.0,5141.0,4134.0,1007.0
77099,14553.0,10347.0,6098.0,4249.0,1167.0,3082.0,4206.0,3702.0,504.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,4269.0,3160.0,2552.0,608.0,123.0,485.0,1109.0,978.0,131.0
77338,11411.0,7713.0,4750.0,2963.0,847.0,2116.0,3698.0,2805.0,893.0
77339,15294.0,10388.0,8369.0,2019.0,543.0,1476.0,4906.0,4131.0,775.0
77345,9566.0,8037.0,7288.0,749.0,210.0,539.0,1529.0,1256.0,273.0
77346,17368.0,14232.0,11645.0,2587.0,581.0,2006.0,3136.0,2608.0,528.0
77373,17928.0,14166.0,10404.0,3762.0,1035.0,2727.0,3762.0,3189.0,573.0
77375,13307.0,9644.0,7366.0,2278.0,977.0,1301.0,3663.0,2917.0,746.0
77377,9284.0,7782.0,6647.0,1135.0,263.0,872.0,1502.0,1190.0,312.0
77379,23709.0,19152.0,16224.0,2928.0,1091.0,1837.0,4557.0,3691.0,866.0
77388,13757.0,11222.0,9436.0,1786.0,348.0,1438.0,2535.0,2065.0,470.0
77389,7284.0,5983.0,5234.0,749.0,162.0,587.0,1301.0,1100.0,201.0
77396,13206.0,9958.0,6848.0,3110.0,619.0,2491.0,3248.0,2798.0,450.0
77401,6481.0,4788.0,4060.0,728.0,306.0,422.0,1693.0,1477.0,216.0
77429,23632.0,19295.0,16092.0,3203.0,774.0,2429.0,4337.0,3312.0,1025.0
77433,15083.0,12783.0,10834.0,1949.0,696.0,1253.0,2300.0,1805.0,495.0
77447,3848.0,3132.0,2474.0,658.0,224.0,434.0,716.0,586.0,130.0
77449,26855.0,22372.0,16583.0,5789.0,1726.0,4063.0,4483.0,3725.0,758.0
77450,23249.0,18844.0,15570.0,3274.0,858.0,2416.0,4405.0,3750.0,655.0
