Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77081,15337.0,9359.0,5379.0,3980.0,1408.0,2572.0,5978.0,4853.0,1125.0
77082,19591.0,11875.0,7321.0,4554.0,1199.0,3355.0,7716.0,6277.0,1439.0
77083,20411.0,16893.0,11580.0,5313.0,1465.0,3848.0,3518.0,3027.0,491.0
77084,31764.0,23976.0,17435.0,6541.0,1761.0,4780.0,7788.0,6103.0,1685.0
77085,4720.0,3569.0,2223.0,1346.0,521.0,825.0,1151.0,1067.0,84.0
77086,7704.0,6274.0,3588.0,2686.0,586.0,2100.0,1430.0,1108.0,322.0
77087,10778.0,8073.0,5316.0,2757.0,678.0,2079.0,2705.0,2065.0,640.0
77088,16200.0,12125.0,6917.0,5208.0,1325.0,3883.0,4075.0,3610.0,465.0
77089,16310.0,12569.0,8950.0,3619.0,1029.0,2590.0,3741.0,3039.0,702.0
77090,13067.0,8413.0,4127.0,4286.0,842.0,3444.0,4654.0,4031.0,623.0
77091,8560.0,5314.0,2775.0,2539.0,295.0,2244.0,3246.0,2694.0,552.0
77092,12587.0,7767.0,4855.0,2912.0,628.0,2284.0,4820.0,3869.0,951.0
77093,11386.0,8884.0,5481.0,3403.0,934.0,2469.0,2502.0,2180.0,322.0
77094,3039.0,2483.0,2294.0,189.0,50.0,139.0,556.0,537.0,19.0
77095,23104.0,17792.0,14622.0,3170.0,658.0,2512.0,5312.0,4328.0,984.0
77096,13914.0,8737.0,6866.0,1871.0,328.0,1543.0,5177.0,4208.0,969.0
77098,7735.0,2484.0,2196.0,288.0,118.0,170.0,5251.0,4369.0,882.0
77099,14610.0,10039.0,6080.0,3959.0,906.0,3053.0,4571.0,4041.0,530.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,4321.0,3068.0,2384.0,684.0,185.0,499.0,1253.0,1072.0,181.0
77338,12000.0,8214.0,5114.0,3100.0,874.0,2226.0,3786.0,2962.0,824.0
77339,15365.0,10261.0,8251.0,2010.0,516.0,1494.0,5104.0,4235.0,869.0
77345,9897.0,7903.0,7203.0,700.0,268.0,432.0,1994.0,1666.0,328.0
77346,17865.0,14476.0,11686.0,2790.0,712.0,2078.0,3389.0,2868.0,521.0
77373,18193.0,14311.0,10576.0,3735.0,1001.0,2734.0,3882.0,3299.0,583.0
77375,13658.0,9851.0,7619.0,2232.0,913.0,1319.0,3807.0,3042.0,765.0
77377,9644.0,7951.0,6774.0,1177.0,300.0,877.0,1693.0,1395.0,298.0
77379,23910.0,19224.0,16302.0,2922.0,1030.0,1892.0,4686.0,3898.0,788.0
77388,13941.0,11173.0,9322.0,1851.0,365.0,1486.0,2768.0,2195.0,573.0
77389,8010.0,6576.0,5677.0,899.0,211.0,688.0,1434.0,1204.0,230.0
77396,13903.0,10432.0,7046.0,3386.0,878.0,2508.0,3471.0,2969.0,502.0
77401,6432.0,4755.0,4091.0,664.0,300.0,364.0,1677.0,1450.0,227.0
77429,24180.0,20102.0,16956.0,3146.0,802.0,2344.0,4078.0,3178.0,900.0
77433,16575.0,14057.0,11812.0,2245.0,776.0,1469.0,2518.0,2138.0,380.0
77447,4020.0,3323.0,2613.0,710.0,173.0,537.0,697.0,533.0,164.0
77449,27961.0,23529.0,16930.0,6599.0,1910.0,4689.0,4432.0,3684.0,748.0
77450,23667.0,18764.0,15375.0,3389.0,710.0,2679.0,4903.0,4016.0,887.0
77484,3545.0,2696.0,2209.0,487.0,132.0,355.0,849.0,606.0,243.0
77493,7367.0,5840.0,4738.0,1102.0,352.0,750.0,1527.0,1123.0,404.0
77502,10592.0,8000.0,5407.0,2593.0,626.0,1967.0,2592.0,2243.0,349.0
77503,7786.0,5675.0,3737.0,1938.0,654.0,1284.0,2111.0,1700.0,411.0
77504,8588.0,5761.0,3629.0,2132.0,590.0,1542.0,2827.0,2315.0,512.0
77505,8148.0,6212.0,4704.0,1508.0,432.0,1076.0,1936.0,1620.0,316.0
77506,10299.0,7716.0,4907.0,2809.0,817.0,1992.0,2583.0,2157.0,426.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,11957.0,8616.0,5723.0,2893.0,722.0,2171.0,3341.0,2876.0,465.0
77521,17333.0,12945.0,8893.0,4052.0,1072.0,2980.0,4388.0,3998.0,390.0
77530,9116.0,7006.0,4606.0,2400.0,694.0,1706.0,2110.0,1658.0,452.0
77532,9059.0,7228.0,5462.0,1766.0,621.0,1145.0,1831.0,1383.0,448.0
77536,10499.0,8751.0,6666.0,2085.0,717.0,1368.0,1748.0,1570.0,178.0
77547,2728.0,2188.0,1512.0,676.0,97.0,579.0,540.0,459.0,81.0
