Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77077,13490.0,1095.0,735.0,2326.0,2266.0,2285.0,3492.0,1291.0,36959.0
77078,4271.0,480.0,208.0,868.0,1084.0,1020.0,533.0,78.0,10465.0
77079,8642.0,938.0,280.0,1965.0,1780.0,1987.0,1347.0,345.0,21067.0
77080,11807.0,760.0,831.0,3147.0,2351.0,2682.0,1826.0,210.0,33383.0
77081,11026.0,678.0,1200.0,2674.0,2394.0,1763.0,1770.0,547.0,28747.0
77082,13286.0,738.0,970.0,2206.0,2169.0,2743.0,3615.0,845.0,33799.0
77083,23132.0,1144.0,1481.0,5170.0,5006.0,4947.0,4755.0,629.0,44776.0
77084,29804.0,1930.0,1739.0,6730.0,5808.0,6381.0,6225.0,991.0,64568.0
77085,5297.0,183.0,412.0,1248.0,1298.0,1218.0,874.0,64.0,10620.0
77086,8351.0,519.0,499.0,2017.0,1817.0,2122.0,1238.0,139.0,17598.0
77087,10901.0,515.0,606.0,3026.0,2552.0,2498.0,1578.0,126.0,25846.0
77088,15098.0,1049.0,863.0,3297.0,3605.0,3551.0,2469.0,264.0,33897.0
77089,15412.0,798.0,1063.0,3002.0,2513.0,3239.0,4144.0,653.0,33122.0
77090,9163.0,458.0,591.0,1844.0,2077.0,1740.0,2150.0,303.0,22108.0
77091,6752.0,460.0,362.0,1818.0,1516.0,1374.0,1133.0,89.0,15888.0
77092,8524.0,661.0,587.0,2371.0,1739.0,1901.0,1148.0,117.0,23689.0
77093,12300.0,854.0,800.0,3291.0,2832.0,3103.0,1375.0,45.0,28050.0
77094,2423.0,74.0,91.0,371.0,555.0,739.0,478.0,115.0,5487.0
77095,20495.0,2046.0,1145.0,4748.0,4403.0,3584.0,3468.0,1101.0,42843.0
77096,9026.0,898.0,593.0,1839.0,1636.0,1471.0,1858.0,731.0,23383.0
77098,2398.0,182.0,43.0,132.0,377.0,290.0,757.0,617.0,9809.0
77099,14496.0,626.0,981.0,3076.0,3391.0,3117.0,2706.0,599.0,29570.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,3459.0,222.0,216.0,971.0,656.0,948.0,439.0,7.0,8224.0
77338,10445.0,647.0,564.0,2299.0,2158.0,1811.0,2465.0,501.0,21163.0
77339,10430.0,659.0,782.0,1963.0,2282.0,2246.0,2148.0,350.0,27105.0
77345,8580.0,492.0,380.0,1645.0,1920.0,2405.0,1578.0,160.0,18565.0
77346,18465.0,1114.0,887.0,3625.0,4306.0,3913.0,3830.0,790.0,32419.0
77373,17542.0,905.0,922.0,3679.0,3922.0,4082.0,3508.0,524.0,35082.0
77375,12620.0,1216.0,817.0,2662.0,2817.0,2357.0,2462.0,289.0,25565.0
77377,9337.0,632.0,472.0,2377.0,1823.0,2026.0,1745.0,262.0,18731.0
77379,22267.0,1562.0,1184.0,4347.0,4853.0,5350.0,4044.0,927.0,46374.0
77388,11618.0,606.0,698.0,2767.0,2616.0,2832.0,1792.0,307.0,26947.0
77389,7339.0,431.0,561.0,1497.0,1676.0,1420.0,1561.0,193.0,14132.0
77396,12793.0,892.0,964.0,2682.0,2969.0,3017.0,1763.0,506.0,28634.0
77401,5301.0,712.0,327.0,1046.0,861.0,1448.0,646.0,261.0,11578.0
77429,21133.0,1478.0,1077.0,5497.0,5245.0,4640.0,2669.0,527.0,47365.0
77433,17861.0,1521.0,1245.0,4324.0,4243.0,3287.0,2516.0,725.0,30620.0
77447,3682.0,181.0,218.0,775.0,875.0,1098.0,472.0,63.0,8252.0
77449,28650.0,2151.0,1670.0,6966.0,6099.0,6213.0,4657.0,894.0,56721.0
77450,22365.0,1272.0,1091.0,4806.0,5210.0,5489.0,3613.0,884.0,44923.0
