Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77020,136.0,420.0,549.0,841.0,1045.0,837.0,995.0,890.0,552.0,405.0,981.0,244.0,84.0,8.0,38.0
77021,39.0,292.0,789.0,628.0,513.0,907.0,693.0,1294.0,908.0,659.0,2087.0,585.0,258.0,91.0,193.0
77022,48.0,392.0,946.0,1113.0,906.0,964.0,965.0,877.0,658.0,520.0,1259.0,186.0,43.0,5.0,0.0
77023,41.0,133.0,303.0,577.0,866.0,1241.0,1343.0,1021.0,762.0,518.0,1643.0,511.0,96.0,47.0,19.0
77024,9.0,26.0,46.0,127.0,178.0,365.0,414.0,427.0,492.0,614.0,2712.0,2176.0,1470.0,1288.0,4335.0
77025,14.0,50.0,149.0,100.0,256.0,442.0,995.0,887.0,955.0,1032.0,2888.0,1694.0,956.0,548.0,1519.0
77026,51.0,427.0,806.0,658.0,985.0,1289.0,1321.0,638.0,535.0,269.0,472.0,112.0,37.0,0.0,0.0
77027,22.0,0.0,34.0,34.0,68.0,47.0,124.0,403.0,713.0,443.0,2735.0,1937.0,834.0,455.0,1045.0
77028,150.0,359.0,690.0,710.0,452.0,347.0,398.0,475.0,336.0,378.0,550.0,38.0,8.0,0.0,0.0
77029,47.0,181.0,413.0,718.0,626.0,516.0,726.0,501.0,411.0,371.0,903.0,77.0,0.0,0.0,0.0
77030,0.0,36.0,14.0,0.0,137.0,90.0,170.0,233.0,278.0,320.0,1160.0,1119.0,292.0,300.0,499.0
77031,0.0,22.0,185.0,163.0,319.0,451.0,757.0,884.0,519.0,293.0,1424.0,616.0,67.0,0.0,4.0
77032,25.0,200.0,342.0,337.0,149.0,249.0,195.0,296.0,549.0,416.0,974.0,122.0,18.0,7.0,0.0
77033,41.0,599.0,1093.0,951.0,640.0,681.0,567.0,566.0,789.0,866.0,1480.0,60.0,4.0,11.0,0.0
77034,0.0,97.0,448.0,583.0,401.0,791.0,1228.0,1598.0,1177.0,1012.0,3339.0,1164.0,236.0,32.0,0.0
77035,0.0,187.0,463.0,311.0,645.0,1257.0,2161.0,1912.0,1050.0,797.0,2499.0,1171.0,502.0,198.0,80.0
77036,74.0,211.0,491.0,751.0,1728.0,3686.0,5521.0,4080.0,2783.0,1509.0,2949.0,731.0,119.0,61.0,72.0
77037,0.0,267.0,473.0,519.0,410.0,487.0,280.0,331.0,293.0,379.0,1486.0,288.0,36.0,0.0,0.0
77038,0.0,110.0,195.0,265.0,556.0,485.0,617.0,802.0,503.0,640.0,2784.0,649.0,75.0,0.0,0.0
77039,32.0,208.0,511.0,599.0,574.0,492.0,824.0,812.0,667.0,429.0,1643.0,514.0,13.0,0.0,23.0
77040,4.0,63.0,154.0,634.0,814.0,1220.0,1374.0,1332.0,1768.0,1609.0,5518.0,1690.0,628.0,245.0,168.0
77041,8.0,194.0,307.0,438.0,473.0,526.0,678.0,520.0,357.0,529.0,3749.0,1749.0,698.0,345.0,777.0
77042,73.0,28.0,74.0,236.0,432.0,841.0,1814.0,2327.0,2381.0,2061.0,5327.0,936.0,502.0,540.0,515.0
77043,21.0,106.0,121.0,319.0,555.0,503.0,711.0,984.0,1099.0,852.0,1585.0,912.0,362.0,172.0,86.0
77044,24.0,226.0,163.0,316.0,361.0,496.0,330.0,229.0,611.0,344.0,3315.0,1808.0,1380.0,593.0,718.0
77045,32.0,301.0,794.0,767.0,775.0,481.0,453.0,378.0,874.0,753.0,2978.0,618.0,97.0,0.0,93.0
77046,6.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,117.0,298.0,179.0,26.0,31.0
77047,26.0,171.0,217.0,410.0,447.0,366.0,457.0,230.0,499.0,588.0,3286.0,1473.0,110.0,18.0,22.0
77048,4.0,254.0,391.0,425.0,509.0,467.0,461.0,509.0,386.0,375.0,1032.0,325.0,26.0,28.0,0.0
77049,17.0,146.0,300.0,364.0,315.0,355.0,410.0,524.0,1324.0,663.0,2623.0,1887.0,296.0,122.0,20.0
77050,10.0,15.0,59.0,258.0,132.0,135.0,314.0,55.0,108.0,132.0,177.0,29.0,0.0,9.0,0.0
77051,134.0,312.0,470.0,446.0,456.0,346.0,442.0,571.0,379.0,420.0,1106.0,202.0,61.0,0.0,0.0
77054,25.0,14.0,54.0,125.0,133.0,339.0,829.0,1433.0,1593.0,1496.0,4536.0,1359.0,251.0,52.0,35.0
77055,10.0,129.0,239.0,297.0,389.0,934.0,1450.0,2045.0,1819.0,968.0,2700.0,1180.0,672.0,437.0,1240.0
77056,9.0,0.0,28.0,10.0,77.0,53.0,132.0,252.0,453.0,637.0,2752.0,1596.0,1143.0,821.0,1595.0
77057,17.0,61.0,102.0,130.0,356.0,742.0,1909.0,1841.0,2046.0,1449.0,5479.0,2405.0,1143.0,486.0,1571.0
77058,0.0,16.0,31.0,74.0,168.0,456.0,883.0,854.0,860.0,1124.0,2474.0,798.0,278.0,156.0,26.0
77059,18.0,20.0,33.0,91.0,185.0,135.0,239.0,228.0,254.0,307.0,1115.0,1225.0,833.0,401.0,760.0
77060,48.0,225.0,282.0,318.0,710.0,2194.0,2372.0,2290.0,1419.0,1138.0,2215.0,303.0,33.0,3.0,0.0
77061,0.0,73.0,224.0,299.0,447.0,1636.0,1560.0,1324.0,869.0,380.0,1267.0,387.0,21.0,16.0,55.0
77062,0.0,80.0,157.0,415.0,329.0,432.0,420.0,591.0,504.0,346.0,2717.0,2407.0,841.0,213.0,232.0
77063,59.0,47.0,104.0,215.0,204.0,765.0,1730.0,2515.0,2444.0,1613.0,4980.0,1644.0,643.0,484.0,321.0
77064,16.0,105.0,124.0,373.0,600.0,860.0,914.0,591.0,932.0,1573.0,6343.0,2189.0,730.0,229.0,123.0
77065,11.0,133.0,181.0,250.0,273.0,534.0,571.0,1183.0,1487.0,1973.0,5482.0,1926.0,547.0,165.0,156.0
77066,27.0,16.0,187.0,257.0,645.0,582.0,495.0,697.0,918.0,522.0,3485.0,1513.0,182.0,132.0,43.0
77067,33.0,64.0,128.0,207.0,532.0,1048.0,1164.0,1031.0,919.0,883.0,2978.0,650.0,46.0,0.0,0.0
77068,0.0,0.0,48.0,46.0,96.0,253.0,401.0,357.0,271.0,272.0,866.0,616.0,452.0,72.0,143.0
77069,10.0,0.0,112.0,151.0,449.0,328.0,392.0,370.0,664.0,871.0,2529.0,1072.0,421.0,339.0,285.0
77070,30.0,80.0,152.0,357.0,357.0,838.0,676.0,828.0,1435.0,1966.0,6202.0,4309.0,1150.0,134.0,123.0
77071,59.0,94.0,234.0,441.0,526.0,924.0,1151.0,733.0,620.0,812.0,2796.0,1075.0,369.0,153.0,16.0
77072,32.0,164.0,491.0,775.0,755.0,1239.0,1705.0,2077.0,1855.0,1608.0,5291.0,1259.0,38.0,23.0,95.0
77073,18.0,15.0,148.0,142.0,300.0,586.0,672.0,740.0,936.0,942.0,5363.0,1947.0,274.0,45.0,0.0
77074,0.0,148.0,225.0,564.0,798.0,1639.0,1701.0,1588.0,1262.0,816.0,2730.0,432.0,191.0,16.0,86.0
77075,13.0,138.0,286.0,418.0,441.0,978.0,1060.0,947.0,1346.0,855.0,4409.0,1477.0,143.0,0.0,0.0
77076,52.0,305.0,600.0,660.0,709.0,988.0,799.0,941.0,1157.0,613.0,2065.0,298.0,8.0,14.0,0.0
77077,158.0,0.0,106.0,407.0,347.0,1014.0,1552.0,2046.0,2330.0,1801.0,8153.0,3279.0,1926.0,874.0,934.0
77078,7.0,213.0,371.0,470.0,173.0,403.0,498.0,460.0,401.0,403.0,794.0,231.0,20.0,13.0,0.0
77079,17.0,0.0,43.0,188.0,238.0,278.0,680.0,763.0,941.0,892.0,3172.0,1559.0,1020.0,714.0,1772.0
77080,0.0,105.0,259.0,449.0,659.0,947.0,1900.0,2078.0,1785.0,1451.0,3444.0,1180.0,334.0,59.0,65.0
77081,17.0,28.0,91.0,113.0,798.0,2681.0,3405.0,3292.0,2362.0,1259.0,1783.0,417.0,237.0,13.0,86.0
77082,0.0,100.0,218.0,347.0,467.0,672.0,1663.0,1420.0,1799.0,2787.0,8148.0,2427.0,495.0,201.0,543.0
77083,6.0,30.0,473.0,754.0,1068.0,870.0,1245.0,1525.0,1743.0,1427.0,7505.0,3268.0,820.0,105.0,39.0
77084,8.0,110.0,275.0,1006.0,922.0,1089.0,1773.0,2077.0,1855.0,2337.0,13750.0,5740.0,1510.0,185.0,214.0
77085,9.0,23.0,183.0,268.0,236.0,196.0,335.0,181.0,286.0,494.0,2157.0,433.0,19.0,0.0,8.0
77086,0.0,79.0,179.0,306.0,453.0,597.0,604.0,613.0,690.0,1031.0,2696.0,624.0,32.0,0.0,25.0
77087,69.0,263.0,890.0,832.0,1061.0,1484.0,1037.0,858.0,862.0,544.0,2205.0,477.0,65.0,0.0,0.0
77088,85.0,347.0,725.0,1018.0,1008.0,1740.0,1304.0,1144.0,1613.0,1024.0,4674.0,1391.0,214.0,68.0,0.0
77089,13.0,170.0,412.0,650.0,651.0,646.0,1031.0,1317.0,1235.0,1259.0,5355.0,2916.0,448.0,256.0,261.0
77090,14.0,160.0,177.0,127.0,237.0,1053.0,1287.0,2098.0,1829.0,2392.0,3642.0,1044.0,202.0,140.0,42.0
77091,50.0,238.0,441.0,664.0,774.0,925.0,1157.0,1051.0,1006.0,570.0,1440.0,326.0,95.0,19.0,27.0
77092,19.0,134.0,632.0,461.0,919.0,1441.0,1888.0,1836.0,1274.0,1055.0,2533.0,638.0,230.0,50.0,55.0
77093,50.0,617.0,1094.0,1198.0,1352.0,1134.0,1159.0,1022.0,1011.0,661.0,1553.0,288.0,14.0,9.0,0.0
77094,0.0,0.0,0.0,0.0,38.0,104.0,68.0,73.0,60.0,205.0,560.0,396.0,380.0,329.0,826.0
77095,0.0,0.0,188.0,193.0,459.0,900.0,1316.0,826.0,1559.0,1516.0,7205.0,6378.0,1888.0,961.0,599.0
77096,8.0,160.0,292.0,216.0,300.0,978.0,1663.0,1757.0,1470.0,999.0,2690.0,1481.0,1260.0,565.0,623.0
77098,0.0,13.0,72.0,47.0,56.0,125.0,337.0,452.0,295.0,430.0,2077.0,1624.0,761.0,420.0,910.0
77099,33.0,188.0,390.0,462.0,688.0,1238.0,1772.0,1674.0,1932.0,1550.0,4107.0,1303.0,138.0,15.0,28.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,0.0,71.0,71.0,222.0,226.0,142.0,285.0,121.0,303.0,158.0,1163.0,468.0,399.0,271.0,339.0
77338,14.0,75.0,412.0,346.0,572.0,666.0,462.0,947.0,1040.0,1810.0,4329.0,1582.0,269.0,53.0,44.0
77339,18.0,44.0,114.0,342.0,476.0,451.0,527.0,832.0,988.0,1382.0,5481.0,2929.0,984.0,437.0,284.0
77345,0.0,48.0,50.0,108.0,124.0,223.0,189.0,444.0,360.0,638.0,2105.0,2365.0,1283.0,824.0,1100.0
77346,18.0,0.0,72.0,316.0,372.0,494.0,606.0,738.0,829.0,657.0,5549.0,5836.0,2237.0,678.0,428.0
77373,0.0,142.0,399.0,508.0,680.0,978.0,555.0,675.0,1036.0,1015.0,8111.0,3371.0,776.0,292.0,50.0
77375,29.0,159.0,271.0,220.0,453.0,228.0,618.0,662.0,677.0,1092.0,4484.0,3130.0,925.0,333.0,587.0
77377,0.0,58.0,180.0,200.0,238.0,458.0,270.0,453.0,695.0,626.0,2339.0,2146.0,1214.0,784.0,754.0
77379,29.0,75.0,212.0,298.0,468.0,831.0,891.0,1099.0,1410.0,1502.0,5910.0,5515.0,2947.0,1644.0,2261.0
77388,0.0,27.0,212.0,384.0,587.0,490.0,593.0,494.0,577.0,561.0,4305.0,4253.0,1537.0,487.0,297.0
77389,0.0,11.0,148.0,158.0,215.0,113.0,335.0,332.0,292.0,284.0,1731.0,1808.0,1194.0,1134.0,1303.0
77396,48.0,171.0,244.0,422.0,480.0,551.0,548.0,691.0,1034.0,1403.0,5951.0,1967.0,894.0,372.0,613.0
77401,15.0,0.0,15.0,49.0,58.0,114.0,227.0,150.0,191.0,221.0,1056.0,958.0,476.0,300.0,2807.0
77429,36.0,133.0,164.0,503.0,719.0,616.0,648.0,1079.0,1035.0,1060.0,6804.0,6616.0,2699.0,1838.0,1827.0
77433,0.0,15.0,141.0,134.0,248.0,249.0,554.0,440.0,326.0,553.0,5993.0,5083.0,2724.0,1383.0,1600.0
77447,11.0,40.0,86.0,164.0,208.0,285.0,292.0,166.0,173.0,409.0,1309.0,501.0,140.0,139.0,58.0
77449,22.0,138.0,212.0,509.0,773.0,972.0,895.0,844.0,1079.0,1552.0,14221.0,7342.0,1187.0,115.0,131.0
77450,0.0,64.0,143.0,407.0,492.0,735.0,937.0,1071.0,1011.0,1393.0,6684.0,5603.0,2842.0,1725.0,1538.0
77484,12.0,92.0,165.0,255.0,320.0,175.0,376.0,367.0,154.0,250.0,862.0,357.0,106.0,88.0,98.0
77493,30.0,34.0,99.0,165.0,433.0,295.0,498.0,320.0,352.0,289.0,2833.0,1599.0,675.0,161.0,260.0
77502,0.0,160.0,490.0,771.0,884.0,965.0,906.0,1020.0,637.0,752.0,3347.0,671.0,120.0,13.0,0.0
77503,42.0,156.0,356.0,417.0,627.0,664.0,773.0,989.0,746.0,804.0,2006.0,278.0,0.0,0.0,0.0
77504,14.0,36.0,287.0,193.0,434.0,569.0,1231.0,1375.0,1099.0,965.0,1681.0,687.0,79.0,40.0,14.0
77505,0.0,28.0,100.0,224.0,315.0,271.0,596.0,750.0,702.0,473.0,2498.0,1707.0,566.0,135.0,31.0
77506,56.0,392.0,729.0,754.0,702.0,1316.0,1470.0,1136.0,1097.0,983.0,1735.0,163.0,32.0,0.0,0.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,80.0,407.0,819.0,1093.0,955.0,1052.0,1030.0,974.0,1206.0,855.0,2659.0,860.0,145.0,38.0,30.0
77521,13.0,296.0,611.0,576.0,1082.0,1690.0,1676.0,1459.0,1408.0,1380.0,4614.0,2432.0,606.0,249.0,87.0
77530,0.0,130.0,375.0,488.0,758.0,612.0,771.0,945.0,493.0,954.0,2752.0,565.0,120.0,0.0,0.0
77532,68.0,157.0,416.0,492.0,529.0,539.0,602.0,653.0,664.0,522.0,2787.0,1540.0,329.0,121.0,24.0
77536,0.0,123.0,205.0,356.0,561.0,632.0,705.0,537.0,471.0,545.0,3380.0,2084.0,719.0,293.0,28.0
77547,0.0,144.0,147.0,306.0,365.0,160.0,151.0,223.0,138.0,177.0,620.0,92.0,0.0,0.0,4.0
77562,16.0,180.0,271.0,265.0,305.0,159.0,165.0,281.0,174.0,369.0,978.0,266.0,85.0,0.0,21.0
77571,11.0,198.0,378.0,519.0,893.0,773.0,749.0,707.0,677.0,808.0,3936.0,2500.0,418.0,66.0,54.0
77586,0.0,33.0,66.0,154.0,228.0,364.0,664.0,800.0,713.0,580.0,1653.0,1371.0,967.0,363.0,590.0
77587,17.0,183.0,303.0,422.0,424.0,331.0,507.0,502.0,277.0,339.0,958.0,150.0,54.0,35.0,0.0
77598,0.0,48.0,29.0,80.0,233.0,404.0,855.0,981.0,1327.0,1368.0,3544.0,765.0,190.0,41.0,31.0
