Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77042,18835.0,9275.0,5880.0,3395.0,760.0,2635.0,9560.0,8277.0,1283.0
77043,8709.0,6200.0,4400.0,1800.0,564.0,1236.0,2509.0,1991.0,518.0
77044,11963.0,10096.0,7214.0,2882.0,829.0,2053.0,1867.0,1555.0,312.0
77045,10038.0,7787.0,4312.0,3475.0,670.0,2805.0,2251.0,1864.0,387.0
77046,782.0,200.0,200.0,0.0,0.0,0.0,582.0,555.0,27.0
77047,8860.0,6067.0,3401.0,2666.0,437.0,2229.0,2793.0,2178.0,615.0
77048,5445.0,3966.0,2114.0,1852.0,424.0,1428.0,1479.0,1252.0,227.0
77049,9882.0,7726.0,5211.0,2515.0,691.0,1824.0,2156.0,1874.0,282.0
77050,1392.0,1098.0,762.0,336.0,36.0,300.0,294.0,196.0,98.0
77051,5833.0,3617.0,1232.0,2385.0,277.0,2108.0,2216.0,1953.0,263.0
77054,12686.0,4405.0,2942.0,1463.0,517.0,946.0,8281.0,6369.0,1912.0
77055,15089.0,10134.0,6896.0,3238.0,966.0,2272.0,4955.0,3817.0,1138.0
77056,10351.0,4614.0,3966.0,648.0,141.0,507.0,5737.0,4933.0,804.0
77057,20112.0,8137.0,5746.0,2391.0,958.0,1433.0,11975.0,10536.0,1439.0
77058,8335.0,3668.0,2374.0,1294.0,357.0,937.0,4667.0,3614.0,1053.0
77059,5949.0,5076.0,4613.0,463.0,163.0,300.0,873.0,695.0,178.0
77060,13891.0,9430.0,4479.0,4951.0,1303.0,3648.0,4461.0,3449.0,1012.0
77061,8742.0,5862.0,3474.0,2388.0,728.0,1660.0,2880.0,2399.0,481.0
77062,9851.0,7230.0,5553.0,1677.0,519.0,1158.0,2621.0,2087.0,534.0
77063,18303.0,8286.0,5600.0,2686.0,818.0,1868.0,10017.0,8776.0,1241.0
77064,16015.0,11424.0,8391.0,3033.0,692.0,2341.0,4591.0,3896.0,695.0
77065,15028.0,9901.0,6572.0,3329.0,943.0,2386.0,5127.0,4548.0,579.0
77066,9942.0,8102.0,5379.0,2723.0,740.0,1983.0,1840.0,1490.0,350.0
77067,10087.0,7476.0,4142.0,3334.0,823.0,2511.0,2611.0,2024.0,587.0
77068,3919.0,3126.0,2335.0,791.0,341.0,450.0,793.0,563.0,230.0
77069,8188.0,4731.0,3700.0,1031.0,210.0,821.0,3457.0,2947.0,510.0
77070,19183.0,12609.0,8809.0,3800.0,990.0,2810.0,6574.0,5382.0,1192.0
77071,9905.0,6500.0,3659.0,2841.0,454.0,2387.0,3405.0,3097.0,308.0
77072,17652.0,13886.0,8376.0,5510.0,1729.0,3781.0,3766.0,3077.0,689.0
77073,12437.0,9829.0,5755.0,4074.0,987.0,3087.0,2608.0,1880.0,728.0
77074,12738.0,8257.0,5501.0,2756.0,750.0,2006.0,4481.0,3499.0,982.0
77075,12829.0,9819.0,6422.0,3397.0,949.0,2448.0,3010.0,2302.0,708.0
77076,9812.0,7627.0,3891.0,3736.0,1110.0,2626.0,2185.0,1900.0,285.0
77077,26193.0,14259.0,10452.0,3807.0,710.0,3097.0,11934.0,10159.0,1775.0
77078,4916.0,3812.0,1963.0,1849.0,372.0,1477.0,1104.0,925.0,179.0
77079,12461.0,8811.0,7251.0,1560.0,451.0,1109.0,3650.0,3170.0,480.0
77080,15087.0,10609.0,6367.0,4242.0,1247.0,2995.0,4478.0,3503.0,975.0
77081,17675.0,10381.0,6161.0,4220.0,1568.0,2652.0,7294.0,6066.0,1228.0
77082,21891.0,13631.0,8245.0,5386.0,1270.0,4116.0,8260.0,6969.0,1291.0
77083,21483.0,17814.0,12072.0,5742.0,1444.0,4298.0,3669.0,3181.0,488.0
77084,33717.0,25544.0,18375.0,7169.0,1976.0,5193.0,8173.0,6758.0,1415.0
77085,5044.0,4003.0,2696.0,1307.0,371.0,936.0,1041.0,923.0,118.0
77086,7907.0,6486.0,4015.0,2471.0,667.0,1804.0,1421.0,1172.0,249.0
77087,10920.0,7996.0,4670.0,3326.0,836.0,2490.0,2924.0,2311.0,613.0
77088,17297.0,12444.0,7099.0,5345.0,1313.0,4032.0,4853.0,4231.0,622.0
77089,16997.0,12594.0,8768.0,3826.0,974.0,2852.0,4403.0,3577.0,826.0
77090,15211.0,9043.0,4329.0,4714.0,794.0,3920.0,6168.0,4992.0,1176.0
77091,9054.0,5542.0,2955.0,2587.0,401.0,2186.0,3512.0,2978.0,534.0
77092,14073.0,8324.0,5216.0,3108.0,889.0,2219.0,5749.0,4271.0,1478.0
77093,12057.0,9076.0,5462.0,3614.0,1014.0,2600.0,2981.0,2538.0,443.0
77094,3076.0,2623.0,2488.0,135.0,38.0,97.0,453.0,417.0,36.0
77095,24353.0,19132.0,15138.0,3994.0,940.0,3054.0,5221.0,4269.0,952.0
77096,14884.0,9381.0,6761.0,2620.0,568.0,2052.0,5503.0,4653.0,850.0
77098,7915.0,2606.0,2361.0,245.0,39.0,206.0,5309.0,4497.0,812.0
77099,16570.0,10993.0,6588.0,4405.0,1041.0,3364.0,5577.0,4571.0,1006.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,4373.0,3167.0,2298.0,869.0,359.0,510.0,1206.0,1092.0,114.0
77338,13017.0,8914.0,5912.0,3002.0,718.0,2284.0,4103.0,3616.0,487.0
77339,15749.0,11075.0,8844.0,2231.0,538.0,1693.0,4674.0,4024.0,650.0
77345,10012.0,8136.0,7148.0,988.0,404.0,584.0,1876.0,1650.0,226.0
77346,19962.0,16112.0,12789.0,3323.0,758.0,2565.0,3850.0,3329.0,521.0
77373,19275.0,14625.0,10876.0,3749.0,831.0,2918.0,4650.0,3741.0,909.0
77375,14669.0,10969.0,8459.0,2510.0,443.0,2067.0,3700.0,2986.0,714.0
77377,11248.0,9119.0,7975.0,1144.0,390.0,754.0,2129.0,1793.0,336.0
77379,26133.0,21513.0,18224.0,3289.0,1057.0,2232.0,4620.0,3913.0,707.0
77388,15392.0,11793.0,9437.0,2356.0,544.0,1812.0,3599.0,2912.0,687.0
77389,9733.0,8041.0,7014.0,1027.0,164.0,863.0,1692.0,1395.0,297.0
77396,15845.0,11439.0,7855.0,3584.0,1217.0,2367.0,4406.0,3871.0,535.0
77401,6682.0,5067.0,4587.0,480.0,193.0,287.0,1615.0,1434.0,181.0
77429,26801.0,21881.0,18756.0,3125.0,743.0,2382.0,4920.0,3981.0,939.0
77433,20969.0,17808.0,15498.0,2310.0,848.0,1462.0,3161.0,2797.0,364.0
77447,4651.0,3737.0,3034.0,703.0,189.0,514.0,914.0,605.0,309.0
77449,32207.0,26735.0,19179.0,7556.0,1416.0,6140.0,5472.0,4457.0,1015.0
77450,24746.0,19649.0,16033.0,3616.0,671.0,2945.0,5097.0,4357.0,740.0
77484,3611.0,2767.0,2075.0,692.0,230.0,462.0,844.0,760.0,84.0
77493,8412.0,6871.0,5476.0,1395.0,389.0,1006.0,1541.0,1185.0,356.0
77502,10809.0,8418.0,5823.0,2595.0,753.0,1842.0,2391.0,1938.0,453.0
77503,7959.0,5701.0,3536.0,2165.0,670.0,1495.0,2258.0,1912.0,346.0
77504,8834.0,5657.0,3562.0,2095.0,603.0,1492.0,3177.0,2639.0,538.0
77505,8403.0,6371.0,4692.0,1679.0,507.0,1172.0,2032.0,1658.0,374.0
77506,11055.0,8419.0,4968.0,3451.0,1131.0,2320.0,2636.0,2064.0,572.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,12507.0,8834.0,5644.0,3190.0,949.0,2241.0,3673.0,3210.0,463.0
77521,18984.0,13606.0,9395.0,4211.0,1451.0,2760.0,5378.0,4581.0,797.0
77530,9242.0,7053.0,4536.0,2517.0,643.0,1874.0,2189.0,1641.0,548.0
77532,9844.0,7917.0,6004.0,1913.0,681.0,1232.0,1927.0,1560.0,367.0
77536,10790.0,8656.0,6488.0,2168.0,735.0,1433.0,2134.0,1767.0,367.0
77547,2710.0,2233.0,1446.0,787.0,188.0,599.0,477.0,392.0,85.0
77562,3645.0,2715.0,1828.0,887.0,399.0,488.0,930.0,869.0,61.0
77571,13228.0,9682.0,7334.0,2348.0,758.0,1590.0,3546.0,2913.0,633.0
